orbit_id,class_id,orbit_rim_count,rank,nullity,golden_flag,representative_rim,charpoly_sha256
73,39,720,10,10,0,0|1|2|3|9|6|5|11|12|15|19|18|17|16|10|13|14|8|7|4,aa567f48dc63c63bc4a32d5a7e2f5e31f5478e839a35d4c861ec7091de166463
74,36,720,10,10,0,0|1|2|5|4|6|12|3|8|9|19|18|17|14|15|13|7|16|11|10,a434b632e5ca12a9d86a17b450f24ed821faf497a9452fab3a8dc450e90cf146
75,31,720,8,12,0,0|1|2|5|4|6|12|3|9|8|19|18|17|14|15|13|7|16|10|11,15b3a46b8086fafd564fcd1cbb927b595c742f77e9d836a961b7d95f64d4b8f7
76,30,720,8,12,0,0|1|2|5|4|8|3|9|7|13|19|18|17|14|15|11|16|10|12|6,b867f86f83be9a383f7b86e6dbad84bf80193ff09d7498c72f39ede125946307
77,25,720,10,10,0,0|1|2|5|4|8|3|12|6|9|19|18|17|14|15|11|16|7|13|10,96931261efdcb705f2a38906eb7104329c8ef3214f20529336a62e406da652be
78,48,720,8,12,0,0|1|2|5|4|8|3|12|10|13|19|18|17|14|15|11|16|7|9|6,d3796acaa8a8282adb137d03fa94f6c6da23137cb993ac9df31b870cc7eadc07
79,28,720,10,10,0,0|1|2|5|4|8|6|12|3|9|19|18|17|14|15|11|13|7|16|10,bd6d3f430a3de5e1e4dc2fca75c40e0d706c74ccb35ce85c69f5ba3466273e8a
80,40,720,10,10,0,0|1|2|5|4|8|7|16|10|13|19|18|17|14|15|11|12|3|9|6,e996362e591bad9b9500e055a79ea0acf6b38c99af90550de7d02e47f568ebed
81,47,720,8,12,0,0|1|2|5|4|10|12|3|6|8|19|18|17|14|15|9|7|16|13|11,e684823e35e0c88fdd146179cb5b8acd7730b734042259293b9d4a1111d5d20b
82,42,720,10,10,0,0|1|2|5|4|10|12|6|3|8|19|18|17|14|15|9|7|13|16|11,57e107448b50c09657d0f9866b588e8cc655de7ff1d91dd28a6e1ba16d264586
83,5,720,8,12,0,0|1|2|5|4|10|12|11|16|13|19|18|17|14|15|9|7|8|3|6,4db900d128083819e3e48d2085915655eb2bd322109ca4386e6dacf5bc19578c
84,34,720,8,12,0,0|1|2|5|4|10|13|16|7|8|19|18|17|14|15|9|6|3|12|11,1ab61a63b134523aa25b8672fe1c23cf72d1feedaf26554bb1300ef6146bd046
85,26,720,10,10,0,0|1|2|5|4|10|16|13|7|8|19|18|17|14|15|9|3|6|12|11,79c1f03ae005a4456ca6559d4fbae27df41de2eb6e70f9f2d21a62de810d44db
86,14,720,10,10,0,0|1|2|5|4|16|10|12|11|13|19|18|17|14|15|3|9|7|8|6,a10008b0293f40d33704153d78882417f23818e974414efaa0f4cb63997f890b
87,38,720,10,10,0,0|1|2|5|4|16|10|13|7|8|19|18|17|14|15|3|9|6|12|11,23e1fbdca77c6140dec9dd01d2ea4316182f15a9582c76df3b7f2224419cd14b
88,20,720,8,12,0,0|1|2|5|4|16|11|12|6|9|19|18|17|14|15|3|8|7|13|10,0156f174f68cec5342455088bcbcda863bbae1c76ade10e2a136cf7b549c7d3b
89,32,720,10,10,0,0|1|2|5|4|16|11|12|10|13|19|18|17|14|15|3|8|7|9|6,84a2017ae4a230c9994499c4e7cc8a6d83bb25a1e0a8b784ce974093fa264c63
90,1,720,8,12,0,0|1|2|5|4|16|11|13|7|9|19|18|17|14|15|3|8|6|12|10,cf0aeec4c52f83f925a14e29963910b1188da0f1c1e5b4f1a15fcddae0049cb3
91,15,720,10,10,0,0|1|2|5|6|3|8|4|7|9|19|18|17|14|13|16|11|15|12|10,e69cc3e9f601b015b8492fb03704f47e66f2144b381b77dc352fe6eaf4151f3d
92,6,720,8,12,0,0|1|2|5|6|3|12|10|4|8|19|18|17|14|13|16|7|9|15|11,170fb68f23761ac29dc6510e01f27e582d9311707d7ec01651fc36800f37db43
93,19,720,10,10,0,0|1|2|5|6|3|12|10|11|15|19|18|17|14|13|16|7|9|8|4,6e355878a9fce2f221bad925968752dee3e2f592dd5cad2631190538b47be143
94,22,720,10,10,0,0|1|2|5|6|3|12|15|9|8|19|18|17|14|13|16|7|4|10|11,36832aab4e4eac12161574a1bc482559e88659e4fa0a2e0b3240a592c5061f00
95,7,720,10,10,0,0|1|2|5|6|4|7|8|3|9|19|18|17|14|13|15|12|11|16|10,061f5f29aa6b1e9ef91b7937d561e8377511a367b48c3f8113b1d3f8aa7a4cd4
96,24,720,10,10,0,0|1|2|5|6|4|8|3|9|7|19|18|17|14|13|15|11|16|10|12,b3ec0a718ca051b5008f0609a754ad00f5186c76467470f72805c85850da8101
97,1,720,8,12,0,0|1|2|5|6|4|10|11|16|7|19|18|17|14|13|15|9|8|3|12,cf0aeec4c52f83f925a14e29963910b1188da0f1c1e5b4f1a15fcddae0049cb3
98,43,720,10,10,0,0|1|2|5|6|4|10|12|3|8|19|18|17|14|13|15|9|7|16|11,1f652b57f2d32013674eaf5528d842257aa703511f6969e20dbec30868c6718d
99,11,720,10,10,0,0|1|2|5|6|4|10|16|7|8|19|18|17|14|13|15|9|3|12|11,3db5825227943677dcec6fc969d9840698125930379eb74c79ff968c870401b5
100,2,720,10,10,0,0|1|2|5|6|8|3|15|9|7|19|18|17|14|13|11|16|4|10|12,9d1c1b89642f8c17007559033c0abbd3f50fe677c28ffb980d2b8390eb69579d
