class_id,orbit_count,rim_count,rank,nullity,golden_flag,coeff_x20,coeff_x19,coeff_x18,coeff_x17,coeff_x16,coeff_x15,coeff_x14,coeff_x13,coeff_x12,coeff_x11,coeff_x10,coeff_x9,coeff_x8,coeff_x7,coeff_x6,coeff_x5,coeff_x4,coeff_x3,coeff_x2,coeff_x1,coeff_x0
0,1,144,10,10,1,1,0,-140,0,7760,0,-212800,0,2886400,0,-15492096,0,0,0,0,0,0,0,0,0,0
1,4,2880,8,12,0,1,0,-92,0,2928,0,-35904,0,114688,0,0,0,0,0,0,0,0,0,0,0,0
2,4,2880,10,10,0,1,0,-92,0,2992,0,-40768,0,212992,0,-331776,0,0,0,0,0,0,0,0,0,0
3,4,2880,10,10,0,1,0,-84,0,2400,0,-27008,0,101632,0,-9216,0,0,0,0,0,0,0,0,0,0
4,4,2880,10,10,0,1,0,-84,0,2464,0,-29312,0,120064,0,-82944,0,0,0,0,0,0,0,0,0,0
5,4,2880,8,12,0,1,0,-76,0,1840,0,-14400,0,16384,0,0,0,0,0,0,0,0,0,0,0,0
6,4,2880,8,12,0,1,0,-60,0,1136,0,-7232,0,10240,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2160,10,10,0,1,0,-92,0,2992,0,-40512,0,194560,0,-36864,0,0,0,0,0,0,0,0,0,0
8,2,1440,10,10,0,1,0,-108,0,4208,0,-69440,0,421888,0,-589824,0,0,0,0,0,0,0,0,0,0
9,2,1440,10,10,0,1,0,-108,0,4272,0,-74304,0,523264,0,-921600,0,0,0,0,0,0,0,0,0,0
10,2,1440,10,10,0,1,0,-108,0,4272,0,-73792,0,495616,0,-589824,0,0,0,0,0,0,0,0,0,0
11,2,1440,10,10,0,1,0,-100,0,3712,0,-62976,0,483328,0,-1327104,0,0,0,0,0,0,0,0,0,0
12,2,1440,10,10,0,1,0,-92,0,2864,0,-34112,0,133120,0,-147456,0,0,0,0,0,0,0,0,0,0
13,2,1440,10,10,0,1,0,-92,0,2864,0,-33344,0,102400,0,-36864,0,0,0,0,0,0,0,0,0,0
14,2,1440,10,10,0,1,0,-92,0,2864,0,-32832,0,83968,0,-36864,0,0,0,0,0,0,0,0,0,0
15,2,1440,10,10,0,1,0,-92,0,2928,0,-37440,0,169984,0,-147456,0,0,0,0,0,0,0,0,0,0
16,2,1440,10,10,0,1,0,-92,0,2928,0,-36928,0,148480,0,-36864,0,0,0,0,0,0,0,0,0,0
17,2,1440,10,10,0,1,0,-92,0,2992,0,-40768,0,206848,0,-147456,0,0,0,0,0,0,0,0,0,0
18,2,1440,10,10,0,1,0,-92,0,2992,0,-40512,0,206848,0,-331776,0,0,0,0,0,0,0,0,0,0
19,2,1440,10,10,0,1,0,-84,0,2208,0,-18304,0,37120,0,-9216,0,0,0,0,0,0,0,0,0,0
20,2,1440,8,12,0,1,0,-84,0,2368,0,-24832,0,65536,0,0,0,0,0,0,0,0,0,0,0,0
