surface_id,role_code,input_code,certified_flag,a985_chain_flag,finite_flag,continuum_flag,gr_derivation_flag,open_gap_count
0,0,0,1,1,1,0,0,0
1,1,1,1,1,1,0,0,0
2,2,2,1,1,1,0,0,1
3,3,3,1,1,1,0,0,2
4,3,4,1,1,1,0,0,2
5,4,5,1,1,1,0,0,1
6,5,6,1,1,1,0,0,1
7,6,7,1,1,1,0,0,1
8,7,8,1,1,1,0,0,1
9,8,9,1,1,1,0,0,6
