gap_id,obligation_code,required_for_gr_flag,certified_flag,blocked_by_finite_scope_flag,next_flag,dependency_surface_code
0,0,1,0,1,1,4
1,1,1,0,1,0,3
2,2,1,0,1,0,5
3,3,1,0,1,0,6
4,4,1,0,1,0,7
5,5,1,0,1,0,9
