slot_audit_id,boundary_spine_rank,boundary_mask_edge_id,positive_carrier_mask_class_id,negative_carrier_mask_class_id,shared_symbol_id,x2_contact_flag,selected_slot_boundary_flag,post_branch_tail_flag
0,14,4,12,4,3,0,1,0
1,15,1,1,8,1,0,0,1
2,16,0,0,7,0,0,0,1
