near_miss_id,cell_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,edge_partition_code,source_region_code,target_region_code,shared_atom_bitset,shared_symbol_bitset,single_shared_symbol_flag,incident_to_slot_positive_carrier_flag,incident_to_slot_negative_carrier_flag,boundary_realizable_x2_flag,reason_code
0,6,2,3,1,1,1,128,4,1,0,0,0,1
1,7,2,10,1,1,1,128,4,1,0,0,0,1
2,8,2,11,1,1,1,128,4,1,0,0,0,1
3,9,2,12,1,1,1,128,4,1,1,0,0,1
4,12,3,10,1,1,1,128,4,1,0,0,0,1
5,13,3,11,1,1,1,146,7,0,0,0,0,1
6,14,3,12,1,1,1,128,4,1,1,0,0,1
7,38,10,11,1,1,1,524416,36,0,0,0,0,1
8,39,10,12,1,1,1,524416,36,0,1,0,0,1
9,41,11,12,1,1,1,524416,36,0,1,0,0,1
