rank,p39_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p38_floor_flag,below_p37_floor_flag,below_p36_floor_flag,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,2335598,2,4756,4757,1,47,57,79,110,128,0,23,28,39,55,64,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,1083830080,1083830080,1084205056,1084205056,1084322816,1083830080,1084322816,492736,0,0,1,1,1,1,1,1,1,1,1,1,1,0,5877006336
1,486081,1,3426,3426,6,12,19,29,94,96,3,6,9,14,47,48,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,407816896,408980992,408487488,408772096,408123904,407816896,408980992,1164096,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4242014208
2,4037583,1,3427,3427,11,22,37,44,48,142,5,11,18,22,24,71,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,408980992,407816896,408772096,408487488,408123904,407816896,408980992,1164096,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4000186368
3,2134127,1,6422,6422,13,26,56,106,110,126,6,13,28,53,55,63,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,296906656,295488704,296266752,296479232,296215872,295488704,296906656,1417952,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3897556992
4,2363599,1,6423,6423,20,45,78,104,114,128,10,22,39,52,57,64,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,295488704,296906656,296479232,296266752,296215872,295488704,296906656,1417952,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3324248064
5,2001363,3,4069,15209,32,40,44,80,104,125,16,20,22,40,52,62,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,613077312,614092928,612620672,612694528,613826688,612620672,614092928,1472256,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4220780544
6,3043376,3,4068,15208,12,14,24,62,126,133,6,7,12,31,63,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,614092928,613077312,612694528,612620672,613826688,612620672,614092928,1472256,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4794089472
7,629109,1,3808,3808,2,3,4,9,50,102,1,1,2,4,25,51,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,381030496,382028960,382498688,381064192,381005312,381005312,382498688,1493376,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4086300672
8,1429467,1,3809,3809,31,34,35,42,82,118,15,17,17,21,41,59,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,382028960,381030496,381064192,382498688,381005312,381005312,382498688,1493376,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3743023104
9,503545,1,3023,3023,2,10,46,58,64,97,1,5,23,29,32,48,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,681749184,681529280,682945856,682452672,683072416,681529280,683072416,1543136,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4752801792
10,4275972,1,3022,3022,0,18,34,66,86,143,0,9,17,33,43,71,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,681529280,681749184,682452672,682945856,683072416,681529280,683072416,1543136,0,0,1,1,1,1,1,1,1,1,1,1,1,0,5034737664
