surface_id,role_code,certified_flag,semantic_anchor_flag,coordinate_anchor_flag,trace_anchor_flag,support_anchor_flag,alias_coverage_flag,normalization_gap_flag,sector_count,matrix_unit_count,row_count
0,0,1,0,1,0,0,0,0,39,0,0
1,1,1,0,0,0,1,0,0,0,0,0
2,2,1,0,0,0,1,0,0,0,0,49
3,3,1,0,1,0,0,0,0,39,985,0
4,4,1,0,1,0,0,0,0,39,985,0
5,5,1,0,1,0,0,0,0,39,985,0
6,6,1,0,0,0,1,0,0,0,985,7
7,7,1,0,0,0,1,0,0,0,985,0
8,8,1,0,0,1,0,0,0,39,0,38415
9,9,1,0,0,1,0,0,0,39,0,0
10,10,1,0,0,1,0,0,0,39,0,2201
11,11,1,0,0,1,0,0,0,39,0,0
12,12,1,0,0,1,0,0,0,39,0,0
13,13,1,0,0,1,0,0,0,39,0,0
14,14,1,0,1,0,0,0,0,39,985,1988
15,15,1,0,0,0,0,0,1,39,985,73594
16,16,1,0,1,0,0,0,0,39,0,0
17,17,1,1,0,0,0,1,0,39,985,39
18,18,1,1,0,0,0,1,0,39,0,365113
19,19,1,1,0,0,0,1,0,39,0,39
20,20,1,1,0,0,0,0,0,39,0,0
