sample_count,state_count,drift_positive_count,drift_negative_count,drift_zero_count,rowwise_nonnegative_flag,eventual_cone_flag,base_level_flag,lift_extension_flag,variance_shrink_flag,negative_mass_num_digits,negative_mass_den_digits,negative_mass_num_mod_1000000007,negative_mass_den_mod_1000000007,negative_mass_num_mod_1000000009,negative_mass_den_mod_1000000009,mean_drift_num_digits,mean_drift_den_digits,mean_drift_num_mod_1000000007,mean_drift_den_mod_1000000007,mean_drift_num_mod_1000000009,mean_drift_den_mod_1000000009,variance_num_digits,variance_den_digits,variance_num_mod_1000000007,variance_den_mod_1000000007,variance_num_mod_1000000009,variance_den_mod_1000000009,variance_shrink_gap_num_digits,variance_shrink_gap_den_digits,variance_shrink_gap_num_mod_1000000007,variance_shrink_gap_den_mod_1000000007,variance_shrink_gap_num_mod_1000000009,variance_shrink_gap_den_mod_1000000009,min_drift_num_digits,min_drift_den_digits,min_drift_num_mod_1000000007,min_drift_den_mod_1000000007,min_drift_num_mod_1000000009,min_drift_den_mod_1000000009,max_drift_num_digits,max_drift_den_digits,max_drift_num_mod_1000000007,max_drift_den_mod_1000000007,max_drift_num_mod_1000000009,max_drift_den_mod_1000000009
110,221,220,0,1,1,1,0,1,1,1,1,0,1,0,1,198,202,414232208,241318947,616788892,187496285,198,202,994130955,305817939,220493563,736041965,400,406,869728672,269840955,464423841,894480238,1,1,0,1,0,1,107,109,153326509,270717009,94430192,436274362
111,223,222,0,1,1,1,0,1,1,1,1,0,1,0,1,201,206,25143286,331626307,959540555,129615630,201,205,803854059,509865016,206638029,564041437,406,412,701730398,347757214,451500730,334569988,1,1,0,1,0,1,108,110,627979994,425548385,265459260,717211202
112,225,224,0,1,1,1,0,1,1,1,1,0,1,0,1,204,208,105616927,468433900,163148749,181584425,203,207,617673266,831715713,636787444,727561743,410,416,737217060,266395562,962994503,211648996,1,1,0,1,0,1,109,111,36991089,118945189,947381628,99816935
113,227,226,0,1,1,1,0,1,1,1,1,0,1,0,1,205,209,542103036,301993726,716489330,219678424,205,209,971116804,643392416,98407279,520429311,413,419,9634317,429769643,583613345,220777743,1,1,0,1,0,1,110,112,824355838,327762035,967468992,852344965
114,229,228,0,1,1,1,0,1,1,1,1,0,1,0,1,206,210,60573924,79286810,395371071,556817673,206,210,151575927,58299033,660335951,595714927,415,421,843306695,175827877,675409533,48329993,1,1,0,1,0,1,109,111,851354555,181140360,241928630,163756653
115,231,230,0,1,1,1,0,1,1,1,1,0,1,0,1,208,212,799010673,980459105,694470520,525444596,209,213,395099705,557587441,751076829,753184404,418,424,515736561,696601357,629598574,961550063,1,1,0,1,0,1,112,114,217940594,327384019,290460686,950718554
116,233,232,0,1,1,1,0,1,1,1,1,0,1,0,1,210,214,673575088,275466220,559672359,61530359,210,214,478327082,738714848,386014347,961017722,424,430,112875778,815514506,95193543,408130846,1,1,0,1,0,1,113,115,242008157,406959686,40507450,945366637
117,235,234,0,1,1,1,0,1,1,1,1,0,1,0,1,212,216,983507693,61983571,618861119,49892402,212,216,203845630,900801560,650005979,547627844,427,433,697955035,538988186,837508629,766022270,1,1,0,1,0,1,114,116,983061581,945468203,111811442,669813137
118,237,236,0,1,1,1,0,1,1,1,1,0,1,0,1,214,219,715607045,493294610,979091896,159564910,214,218,929688731,807623299,298108189,787396783,429,435,588971847,538683619,139058929,164271589,1,1,0,1,0,1,116,117,669572092,821691605,623405542,767453205
119,239,238,0,1,1,1,0,1,1,1,1,0,1,0,1,215,219,552165449,58229030,186723919,136778049,214,218,334810010,416188830,872355777,496617722,432,438,160893677,498573086,323973565,282320748,1,1,0,1,0,1,116,118,462197208,639872706,187578385,735797370
120,241,240,0,1,1,1,0,1,1,1,1,0,1,0,1,217,221,998834909,511002819,402439987,615514175,216,220,866138977,661579251,536875678,203648490,437,443,201337275,942388205,32269078,486340776,1,1,0,1,0,1,116,117,605427826,331536867,240746506,762998571
121,243,242,0,1,1,1,0,1,1,1,1,0,1,0,1,220,224,640662583,972141059,802369093,818933097,219,224,96406535,604194571,193838669,7268733,440,446,716846153,622237180,523364007,748398325,1,1,0,1,0,1,118,119,854628623,338446821,909236754,272767484
122,245,244,0,1,1,1,0,1,1,1,1,0,1,0,1,221,226,849929098,280718081,554881194,757338272,219,223,624194015,188059236,648045220,947809035,444,450,575595381,896593850,134426230,138415874,1,1,0,1,0,1,119,121,621145819,460564646,263832892,565745514
123,247,246,0,1,1,1,0,1,1,1,1,0,1,0,1,223,227,314465973,112954763,3065793,965165004,223,227,606488188,317139815,837348436,487459500,449,455,372448596,370448324,148565533,374572365,1,1,0,1,0,1,120,122,494049193,635319533,499870806,271067282
124,249,248,0,1,1,1,0,1,1,1,1,0,1,0,1,225,229,844061982,250743508,35319270,885446302,225,229,406651967,611143920,448396546,145012080,452,458,18364296,728079844,15632009,338677771,1,1,0,1,0,1,117,119,306705709,852706804,470226085,898818803
125,251,250,0,1,1,1,0,1,1,1,1,0,1,0,1,225,230,473867962,631090706,568057895,741849704,227,231,39864362,315786631,381906338,905966004,455,461,456058466,603738227,761510323,547510432,1,1,0,1,0,1,122,124,154189248,9186267,894201176,160906610
126,253,252,0,1,1,1,0,1,1,1,1,0,1,0,1,227,231,164874865,58697331,242482830,357350377,227,231,248014073,65001554,954249502,109625210,459,465,561956694,829439468,785616015,658937491,1,1,0,1,0,1,122,124,753505179,847051726,409594713,911839473
127,255,254,0,1,1,1,0,1,1,1,1,0,1,0,1,231,235,49564111,381541761,480332041,573812659,230,235,40610332,984634787,356776641,413681963,464,470,804345253,735924646,684332480,330603201,1,1,0,1,0,1,124,126,197302429,177241653,870110895,369015013
