source_row_id,source_code,certified_flag,deterministic_challenge_flag,finite_game_flag,bounded_soundness_flag,authority_closure_flag,external_randomness_claim_flag,hardness_claim_flag,superdeterministic_source_flag
0,0,1,1,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1
2,2,1,1,1,0,0,0,0,1
3,3,1,1,1,1,0,0,0,1
4,4,1,1,1,1,1,0,0,1
