boundary_partition_code,mask_edge_count,signature_cut_edge_count,undirected_stationary_flux_x1e12,flux_fraction_of_total_cut_x1e12,shared_active_atom_sum,top_boundary_source_mask_class_id,top_boundary_target_mask_class_id,top_boundary_flux_x1e12
4,2,198,3712054656,15534049950,198,1,8,1924482056
5,14,3809,235250396733,984465950050,3809,11,13,43567340880
