boundary_mask_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,boundary_partition_code,source_region_code,target_region_code,signature_cut_edge_count,undirected_stationary_flux_x1e12,flux_fraction_of_total_cut_x1e12,shared_active_atom_sum,source_carrier_atom_mask,target_carrier_atom_mask
0,0,7,4,2,-1,100,1787572600,7480558513,100,2,6146
1,1,8,4,2,-1,98,1924482056,8053491437,98,16,6160
2,3,7,5,1,-1,290,23966124030,100292426240,290,146,6146
3,3,8,5,1,-1,203,16978273445,71049963483,203,146,6160
4,4,12,5,-1,1,216,2823477696,11815570520,216,2048,526464
5,6,12,5,-1,1,108,8492755176,35540124093,108,6144,526464
6,7,11,5,-1,1,200,22135706800,92632573324,200,6146,524434
7,7,12,5,-1,1,180,16474783260,68942978967,180,6146,526464
8,8,11,5,-1,1,140,15681554700,65623509505,140,6160,524434
9,8,12,5,-1,1,126,11671197804,48841136907,126,6160,526464
10,9,10,5,-1,1,240,3891062880,16283156025,240,524288,524416
11,9,11,5,-1,1,600,14668386000,61383643810,600,524288,524434
12,9,12,5,-1,1,540,10917134100,45685562885,540,524288,526464
13,10,13,5,1,-1,168,11557048944,48363451567,168,524416,528384
14,11,13,5,1,-1,420,43567340880,182318772789,420,524434,528384
15,12,13,5,1,-1,378,32425551018,135693079936,378,526464,528384
