target_id,i,j,k,product_support,zero_product_flag,closed_in_sector_span_flag,projection_coeff_k_mod,accepted_coeff_k_mod,accepted_coeff_k_valid_flag,expected_numerator,expected_denominator,expected_mod,direct_sector_target_verified_flag
0,5,5,2,12,0,0,0,-1,0,135,2,500069,0
1,5,6,2,0,1,1,0,0,1,135,2,500069,0
2,6,5,2,0,1,1,0,0,1,135,2,500069,0
3,6,6,2,133,0,0,0,-1,0,135,2,500069,0
