pair_id,i,j,product_support,zero_product_flag,closed_in_sector_span_flag,projection_nonzero_coeff_count,projection_coeff_2_mod,accepted_coeff_2_mod,accepted_coeff_2_valid_flag,target_pair_flag,target_expected_mod,target_135_over_2_verified_flag
0,0,0,133,0,0,13,0,-1,0,0,-1,0
1,0,1,86,0,0,2,0,-1,0,0,-1,0
2,0,2,18,0,0,4,850697,-1,0,0,-1,0
3,0,3,86,0,1,1,0,0,1,0,-1,0
4,0,4,11,0,0,1,0,-1,0,0,-1,0
5,0,5,0,1,1,0,0,0,1,0,-1,0
6,0,6,45,0,0,9,0,-1,0,0,-1,0
7,0,7,62,0,0,3,0,-1,0,0,-1,0
8,0,8,11,0,0,1,0,-1,0,0,-1,0
9,0,9,0,1,1,0,0,0,1,0,-1,0
10,0,10,56,0,0,15,298612,-1,0,0,-1,0
11,0,11,18,0,0,4,0,-1,0,0,-1,0
12,0,12,24,0,0,4,0,-1,0,0,-1,0
13,0,13,105,0,0,11,0,-1,0,0,-1,0
14,0,14,57,0,0,6,0,-1,0,0,-1,0
15,0,15,27,0,0,16,0,-1,0,0,-1,0
16,0,16,50,0,0,29,492623,-1,0,0,-1,0
17,0,17,0,1,1,0,0,0,1,0,-1,0
18,0,18,71,0,0,10,0,-1,0,0,-1,0
19,0,19,0,1,1,0,0,0,1,0,-1,0
20,0,20,133,0,0,6,0,-1,0,0,-1,0
21,0,21,8,0,0,1,0,-1,0,0,-1,0
22,0,22,35,0,0,4,0,-1,0,0,-1,0
23,0,23,18,0,0,1,0,-1,0,0,-1,0
24,0,24,0,1,1,0,0,0,1,0,-1,0
25,0,25,55,0,0,27,791235,-1,0,0,-1,0
26,0,26,18,0,0,7,0,-1,0,0,-1,0
27,0,27,57,0,0,6,0,-1,0,0,-1,0
28,0,28,31,0,0,27,582033,-1,0,0,-1,0
29,0,29,0,1,1,0,0,0,1,0,-1,0
30,0,30,0,1,1,0,0,0,1,0,-1,0
31,0,31,42,0,0,11,0,-1,0,0,-1,0
32,0,32,28,0,0,13,447918,-1,0,0,-1,0
33,0,33,18,0,0,3,0,-1,0,0,-1,0
34,0,34,34,0,0,11,223959,-1,0,0,-1,0
35,0,35,38,0,0,3,0,-1,0,0,-1,0
36,0,36,20,0,0,9,925350,-1,0,0,-1,0
37,0,37,33,0,0,29,955298,-1,0,0,-1,0
38,0,38,39,0,0,15,0,-1,0,0,-1,0
39,1,0,86,0,0,2,0,-1,0,0,-1,0
40,1,1,86,0,0,4,0,-1,0,0,-1,0
41,1,2,18,0,0,1,0,-1,0,0,-1,0
42,1,3,86,0,0,3,0,-1,0,0,-1,0
43,1,4,0,1,1,0,0,0,1,0,-1,0
44,1,5,0,1,1,0,0,0,1,0,-1,0
45,1,6,35,0,0,4,0,-1,0,0,-1,0
46,1,7,62,0,0,5,0,-1,0,0,-1,0
47,1,8,0,1,1,0,0,0,1,0,-1,0
48,1,9,0,1,1,0,0,0,1,0,-1,0
49,1,10,28,0,0,10,925350,-1,0,0,-1,0
50,1,11,0,1,1,0,0,0,1,0,-1,0
51,1,12,24,0,0,4,0,-1,0,0,-1,0
52,1,13,62,0,0,3,0,-1,0,0,-1,0
53,1,14,43,0,0,5,0,-1,0,0,-1,0
54,1,15,12,0,0,4,0,-1,0,0,-1,0
55,1,16,18,0,0,1,0,-1,0,0,-1,0
56,1,17,0,1,1,0,0,0,1,0,-1,0
57,1,18,38,0,0,3,0,-1,0,0,-1,0
58,1,19,0,1,1,0,0,0,1,0,-1,0
59,1,20,86,0,1,1,0,0,1,0,-1,0
60,1,21,0,1,1,0,0,0,1,0,-1,0
61,1,22,35,0,0,5,0,-1,0,0,-1,0
62,1,23,18,0,0,4,850697,-1,0,0,-1,0
63,1,24,0,1,1,0,0,0,1,0,-1,0
64,1,25,18,0,0,4,850697,-1,0,0,-1,0
65,1,26,0,1,1,0,0,0,1,0,-1,0
66,1,27,43,0,0,4,0,-1,0,0,-1,0
67,1,28,0,1,1,0,0,0,1,0,-1,0
68,1,29,0,1,1,0,0,0,1,0,-1,0
69,1,30,0,1,1,0,0,0,1,0,-1,0
70,1,31,20,0,0,9,925350,-1,0,0,-1,0
71,1,32,8,0,0,11,850697,-1,0,0,-1,0
72,1,33,0,1,1,0,0,0,1,0,-1,0
73,1,34,28,0,0,8,0,-1,0,0,-1,0
74,1,35,38,0,0,5,0,-1,0,0,-1,0
75,1,36,20,0,0,4,0,-1,0,0,-1,0
76,1,37,0,1,1,0,0,0,1,0,-1,0
77,1,38,24,0,0,4,0,-1,0,0,-1,0
78,2,0,18,0,0,4,850697,-1,0,0,-1,0
79,2,1,18,0,0,1,0,-1,0,0,-1,0
80,2,2,88,0,0,8,0,-1,0,0,-1,0
81,2,3,44,0,0,1,0,-1,0,0,-1,0
82,2,4,26,0,0,0,0,-1,0,0,-1,0
83,2,5,0,1,1,0,0,0,1,0,-1,0
84,2,6,67,0,0,5,776044,-1,0,0,-1,0
85,2,7,18,0,0,5,552085,-1,0,0,-1,0
86,2,8,14,0,0,0,0,-1,0,0,-1,0
87,2,9,58,0,0,3,0,-1,0,0,-1,0
88,2,10,67,0,0,7,0,-1,0,0,-1,0
89,2,11,44,0,0,3,0,-1,0,0,-1,0
90,2,12,61,0,0,4,0,-1,0,0,-1,0
91,2,13,18,0,0,5,104167,-1,0,0,-1,0
92,2,14,9,0,0,5,701391,-1,0,0,-1,0
93,2,15,27,0,0,4,0,-1,0,0,-1,0
94,2,16,88,0,0,8,0,-1,0,0,-1,0
95,2,17,0,1,1,0,0,0,1,0,-1,0
96,2,18,62,0,0,4,776044,-1,0,0,-1,0
97,2,19,14,0,0,0,0,-1,0,0,-1,0
98,2,20,88,0,0,4,925350,-1,0,0,-1,0
99,2,21,14,0,0,0,0,-1,0,0,-1,0
100,2,22,23,0,0,5,776044,-1,0,0,-1,0
