shell,support_size_k,complement_size_r,shell_blocks,intersection_profile,gap_degree,quotient_degree,factor_x_minus_1_squared,quotient_coefficients_nonnegative,quotient_coeff_min,quotient_coeff_max,quotient_coefficients_ascending,certified
8,0,24,759,759 0 0 0 0 0 0 0 0,0,0,True,True,0,0,0,True
8,1,23,759,506 253 0 0 0 0 0 0 0,8,6,True,True,759,44520663,44520663 5101998 2622345 142692 72105 1518 759,True
8,2,22,759,330 352 77 0 0 0 0 0 0,8,6,True,True,12144,68314224,68314224 19843296 10480272 1117248 570768 24288 12144,True
8,3,21,759,210 360 168 21 0 0 0 0 0,8,6,True,True,61479,77938119,77938119 36436878 23546457 3688740 1905849 122958 61479,True
8,4,20,759,130 320 240 64 5 0 0 0 0,8,6,True,True,194304,78309120,78309120 50449920 40116480 8549376 4468992 388608 194304,True
8,5,19,759,78 260 280 120 20 1 0 0 0,8,6,True,True,474375,73035111,73035111 59808462 57804153 15986724 8633625 948750 474375,True
8,6,18,759,46 192 300 160 60 0 1 0 0,8,6,True,True,983664,72546192,64415088 65129184 72546192 26879040 14423184 1967328 983664,True
8,7,17,759,30 112 336 140 140 0 0 1 0,8,6,True,True,1822359,78933993,53439159 69719406 78933993 41699940 22506441 3312942 1822359,True
8,8,16,759,30 0 448 0 280 0 0 0 1,8,6,True,True,2777088,79577088,39788544 79577088 70213632 60850176 33202176 5554176 2777088,True
8,9,15,759,15 15 280 168 210 70 0 0 1,8,6,True,True,4648023,89711145,33447735 61918830 89711145 61765092 47142729 9296046 4648023,True
8,10,14,759,7 16 175 224 210 112 14 0 1,8,6,True,True,7258224,95136144,26835312 48362208 95136144 67592256 59633808 14516448 7258224,True
8,11,13,759,3 12 108 219 230 148 36 2 1,8,6,True,True,10780743,91623993,20682471 37383630 91623993 73205412 71603097 20897934 10780743,True
8,12,12,759,3 0 72 192 225 192 72 0 3,8,6,True,True,14743296,83296512,14743296 29486592 83296512 73405440 83296512 29486592 14743296,True
8,13,11,759,1 2 36 148 230 219 108 12 3,8,6,True,True,10780743,91623993,10780743 20897934 71603097 73205412 91623993 37383630 20682471,True
8,14,10,759,1 0 14 112 210 224 175 16 7,8,6,True,True,7258224,95136144,7258224 14516448 59633808 67592256 95136144 48362208 26835312,True
8,15,9,759,1 0 0 70 210 168 280 15 15,8,6,True,True,4648023,89711145,4648023 9296046 47142729 61765092 89711145 61918830 33447735,True
8,16,8,759,1 0 0 0 280 0 448 0 30,8,6,True,True,2777088,79577088,2777088 5554176 33202176 60850176 70213632 79577088 39788544,True
8,17,7,759,0 1 0 0 140 140 336 112 30,8,6,True,True,1822359,78933993,1822359 3312942 22506441 41699940 78933993 69719406 53439159,True
8,18,6,759,0 0 1 0 60 160 300 192 46,8,6,True,True,983664,72546192,983664 1967328 14423184 26879040 72546192 65129184 64415088,True
8,19,5,759,0 0 0 1 20 120 280 260 78,8,6,True,True,474375,73035111,474375 948750 8633625 15986724 57804153 59808462 73035111,True
8,20,4,759,0 0 0 0 5 64 240 320 130,8,6,True,True,194304,78309120,194304 388608 4468992 8549376 40116480 50449920 78309120,True
8,21,3,759,0 0 0 0 0 21 168 360 210,8,6,True,True,61479,77938119,61479 122958 1905849 3688740 23546457 36436878 77938119,True
8,22,2,759,0 0 0 0 0 0 77 352 330,8,6,True,True,12144,68314224,12144 24288 570768 1117248 10480272 19843296 68314224,True
8,23,1,759,0 0 0 0 0 0 0 253 506,8,6,True,True,759,44520663,759 1518 72105 142692 2622345 5101998 44520663,True
8,24,0,759,0 0 0 0 0 0 0 0 759,0,0,True,True,0,0,0,True
12,0,24,2576,2576 0 0 0 0 0 0 0 0 0 0 0 0,0,0,True,True,0,0,0,True
12,1,23,2576,1288 1288 0 0 0 0 0 0 0 0 0 0 0,12,10,True,True,2576,135199816976,135199816976 24259000864 12798302160 1337603456 689960992 42318528 21519904 721280 363216 5152 2576,True
12,2,22,2576,616 1344 616 0 0 0 0 0 0 0 0 0 0,12,10,True,True,164864,174347199488,174347199488 91851999232 50946438144 10040877056 5341923328 642969600 332695552 22421504 11375616 329728 164864,True
12,3,21,2576,280 1008 1008 280 0 0 0 0 0 0 0 0 0,12,10,True,True,1877904,167424694416,167424694416 142217589024 113750278992 31774135680 17430704928 3087274176 1626264864 165255552 84505680 3755808 1877904,True
12,4,20,2576,120 640 1056 640 120 0 0 0 0 0 0 0 0,12,10,True,True,10551296,177215176704,141931642880 161557381120 177215176704 70567067648 39905001472 9242935296 4959109120 675282944 348192768 21102592 10551296,True
12,5,19,2576,48 360 880 880 360 48 0 0 0 0 0 0 0,12,10,True,True,40250000,221639908944,112017246608 155237421856 221639908944 119871777152 75196660000 21348600000 11672500000 1996400000 1038450000 80500000 40250000,True
12,6,18,2576,16 192 600 960 600 192 16 0 0 0 0 0 0,12,10,True,True,120185856,240859173888,84557841408 132423911424 240859173888 165835579392 122176014336 41824677888 23316056064 4807434240 2523902976 240371712 120185856,True
