shell,h2_basis_index,Act_support_size,Act_profile_ids,Act_image_zero,Act_image_nonnegative_by_three_level_certificates,status_multiset
12,474,4,"4472,4474,4481,4483",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,475,4,"4396,4411,4483,4492",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,476,4,"4396,4411,4483,4491",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,477,6,"4396,4411,4472,4474,4483,4489",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,478,6,"4279,4300,4396,4411,4483,4500",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,479,10,"4109,4110,4279,4300,4396,4411,4472,4474,4483,4498",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,480,8,"4279,4300,4396,4411,4472,4474,4483,4497",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,481,8,"4109,4144,4279,4300,4396,4411,4483,4506",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,482,10,"4109,4144,4279,4300,4396,4411,4472,4474,4483,4504",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,483,12,"3507,3509,3842,3886,4109,4144,4279,4300,4396,4411,4483,4511",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,484,12,"3842,3886,4109,4144,4279,4300,4396,4411,4472,4474,4483,4509",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,485,12,"3509,3559,3842,3886,4109,4144,4279,4300,4396,4411,4483,4514",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,486,16,"3076,3079,3509,3557,3842,3886,4109,4144,4279,4300,4396,4411,4472,4474,4483,4513",False,True,"{""EXACT_RATIONAL_PASS"": 16}"
12,487,4,"129,134,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,488,2,"132,134",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,489,4,"6,7,130,134",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,490,4,"4525,4526,4530,4531",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,491,4,"4522,4526,4527,4531",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,492,4,"4474,4483,4531,4537",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,493,6,"4474,4483,4525,4526,4531,4536",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,494,6,"4474,4483,4522,4526,4531,4533",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,495,6,"4396,4411,4474,4483,4531,4542",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,496,8,"4396,4411,4474,4483,4525,4526,4531,4541",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,497,8,"4396,4411,4474,4483,4522,4526,4531,4538",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,498,10,"4109,4110,4279,4300,4396,4411,4474,4483,4531,4547",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,499,10,"4279,4300,4396,4411,4474,4483,4525,4526,4531,4546",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,500,10,"4279,4300,4396,4411,4474,4483,4522,4526,4531,4543",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,501,12,"3842,3852,4109,4144,4279,4300,4396,4411,4474,4483,4531,4551",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,502,12,"4109,4144,4279,4300,4396,4411,4474,4483,4525,4526,4531,4550",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,503,12,"4109,4144,4279,4300,4396,4411,4474,4483,4522,4526,4531,4548",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,504,16,"3507,3509,3842,3886,4109,4144,4279,4300,4396,4411,4474,4483,4525,4526,4531,4553",False,True,"{""EXACT_RATIONAL_PASS"": 16}"
12,505,14,"3842,3886,4109,4144,4279,4300,4396,4411,4474,4483,4522,4526,4531,4552",False,True,"{""EXACT_RATIONAL_PASS"": 14}"
12,506,4,"55,58,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,507,4,"6,7,57,58",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,508,4,"4557,4559,4560,4562",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,509,4,"4526,4531,4562,4565",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,510,6,"4526,4531,4557,4559,4562,4563",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,511,6,"4474,4483,4526,4531,4562,4568",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,512,8,"4474,4483,4526,4531,4557,4559,4562,4566",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,513,8,"4396,4411,4474,4483,4526,4531,4562,4571",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,514,10,"4396,4411,4474,4483,4526,4531,4557,4559,4562,4570",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,515,12,"4109,4110,4279,4300,4396,4411,4474,4483,4526,4531,4562,4574",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,516,12,"4279,4300,4396,4411,4474,4483,4526,4531,4557,4559,4562,4573",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,517,14,"3842,3852,4109,4144,4279,4300,4396,4411,4474,4483,4526,4531,4562,4576",False,True,"{""EXACT_RATIONAL_PASS"": 14}"
12,518,14,"4109,4144,4279,4300,4396,4411,4474,4483,4526,4531,4557,4559,4562,4575",False,True,"{""EXACT_RATIONAL_PASS"": 14}"
12,519,4,"5,7,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,520,0,,True,True,{}
12,521,4,"4577,4578,4579,4580",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,522,4,"4559,4562,4580,4582",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
