shell,c2_faces,Act_profile_classes,c2_hash_mismatches,c2_uncertified_profiles,h2_representatives,Act_zero_images,Act_nonzero_images,h2_uncertified_Act_images,Act_support_min,Act_support_median,Act_support_max,factorization_status
12,2553,1483,0,0,547,1,546,0,0,4.0,16,PASS
16,2553,1483,0,0,547,1,546,0,0,4.0,16,PASS
