mask,height_action,residual_integral,corrected_support,q42_shadow_nonzero,q12_shadow_nonzero,support_sector,Act_kernel,Talagrand_shell_delta
0,0,0,0,0,0,33,True,0
1,1075200,-1075200,297,0,0,33,True,0
2,1320960,-1320960,297,0,0,33,True,0
3,2396160,-2396160,297,0,0,33,True,0
4,774144,-774144,253,0,0,33,True,0
5,1849344,-1849344,297,0,0,33,True,0
6,2095104,-2095104,297,0,0,33,True,0
7,3170304,-3170304,297,0,0,33,True,0
8,1191936,-1191936,297,0,0,33,True,0
9,2267136,-2267136,297,0,0,33,True,0
10,2512896,-2512896,297,0,0,33,True,0
11,3588096,-3588096,297,0,0,33,True,0
12,1966080,-1966080,297,0,0,33,True,0
13,3041280,-3041280,297,0,0,33,True,0
14,3287040,-3287040,297,0,0,33,True,0
15,4362240,-4362240,297,0,0,33,True,0
16,1081344,-1081344,297,0,0,33,True,0
17,2156544,-2156544,297,0,0,33,True,0
18,2402304,-2402304,297,0,0,33,True,0
19,3477504,-3477504,297,0,0,33,True,0
20,1855488,-1855488,297,0,0,33,True,0
21,2930688,-2930688,297,0,0,33,True,0
22,3176448,-3176448,297,0,0,33,True,0
23,4251648,-4251648,297,0,0,33,True,0
24,2273280,-2273280,297,0,0,33,True,0
25,3348480,-3348480,297,0,0,33,True,0
26,3594240,-3594240,297,0,0,33,True,0
27,4669440,-4669440,297,0,0,33,True,0
28,3047424,-3047424,297,0,0,33,True,0
29,4122624,-4122624,297,0,0,33,True,0
30,4368384,-4368384,297,0,0,33,True,0
31,5443584,-5443584,297,0,0,33,True,0
32,691200,-691200,237,0,0,33,True,0
33,1766400,-1766400,297,0,0,33,True,0
34,2012160,-2012160,297,0,0,33,True,0
35,3087360,-3087360,297,0,0,33,True,0
36,1465344,-1465344,297,0,0,33,True,0
37,2540544,-2540544,297,0,0,33,True,0
38,2786304,-2786304,297,0,0,33,True,0
39,3861504,-3861504,297,0,0,33,True,0
40,1883136,-1883136,297,0,0,33,True,0
41,2958336,-2958336,297,0,0,33,True,0
42,3204096,-3204096,297,0,0,33,True,0
43,4279296,-4279296,297,0,0,33,True,0
44,2657280,-2657280,297,0,0,33,True,0
45,3732480,-3732480,297,0,0,33,True,0
46,3978240,-3978240,297,0,0,33,True,0
47,5053440,-5053440,297,0,0,33,True,0
48,1772544,-1772544,297,0,0,33,True,0
49,2847744,-2847744,297,0,0,33,True,0
50,3093504,-3093504,297,0,0,33,True,0
51,4168704,-4168704,297,0,0,33,True,0
52,2546688,-2546688,297,0,0,33,True,0
53,3621888,-3621888,297,0,0,33,True,0
54,3867648,-3867648,297,0,0,33,True,0
55,4942848,-4942848,297,0,0,33,True,0
56,2964480,-2964480,297,0,0,33,True,0
57,4039680,-4039680,297,0,0,33,True,0
58,4285440,-4285440,297,0,0,33,True,0
59,5360640,-5360640,297,0,0,33,True,0
60,3738624,-3738624,297,0,0,33,True,0
61,4813824,-4813824,297,0,0,33,True,0
62,5059584,-5059584,297,0,0,33,True,0
63,6134784,-6134784,297,0,0,33,True,0
64,903168,-903168,253,0,0,33,True,0
65,1978368,-1978368,297,0,0,33,True,0
66,2224128,-2224128,297,0,0,33,True,0
67,3299328,-3299328,297,0,0,33,True,0
68,1677312,-1677312,253,0,0,33,True,0
69,2752512,-2752512,297,0,0,33,True,0
70,2998272,-2998272,297,0,0,33,True,0
71,4073472,-4073472,297,0,0,33,True,0
72,2095104,-2095104,297,0,0,33,True,0
73,3170304,-3170304,297,0,0,33,True,0
74,3416064,-3416064,297,0,0,33,True,0
75,4491264,-4491264,297,0,0,33,True,0
76,2869248,-2869248,297,0,0,33,True,0
77,3944448,-3944448,297,0,0,33,True,0
78,4190208,-4190208,297,0,0,33,True,0
79,5265408,-5265408,297,0,0,33,True,0
80,1984512,-1984512,297,0,0,33,True,0
81,3059712,-3059712,297,0,0,33,True,0
82,3305472,-3305472,297,0,0,33,True,0
83,4380672,-4380672,297,0,0,33,True,0
84,2758656,-2758656,297,0,0,33,True,0
85,3833856,-3833856,297,0,0,33,True,0
86,4079616,-4079616,297,0,0,33,True,0
87,5154816,-5154816,297,0,0,33,True,0
88,3176448,-3176448,297,0,0,33,True,0
89,4251648,-4251648,297,0,0,33,True,0
90,4497408,-4497408,297,0,0,33,True,0
91,5572608,-5572608,297,0,0,33,True,0
92,3950592,-3950592,297,0,0,33,True,0
93,5025792,-5025792,297,0,0,33,True,0
94,5271552,-5271552,297,0,0,33,True,0
95,6346752,-6346752,297,0,0,33,True,0
96,1594368,-1594368,297,0,0,33,True,0
97,2669568,-2669568,297,0,0,33,True,0
98,2915328,-2915328,297,0,0,33,True,0
99,3990528,-3990528,297,0,0,33,True,0
100,2368512,-2368512,297,0,0,33,True,0
101,3443712,-3443712,297,0,0,33,True,0
102,3689472,-3689472,297,0,0,33,True,0
103,4764672,-4764672,297,0,0,33,True,0
104,2786304,-2786304,297,0,0,33,True,0
105,3861504,-3861504,297,0,0,33,True,0
106,4107264,-4107264,297,0,0,33,True,0
107,5182464,-5182464,297,0,0,33,True,0
108,3560448,-3560448,297,0,0,33,True,0
109,4635648,-4635648,297,0,0,33,True,0
110,4881408,-4881408,297,0,0,33,True,0
111,5956608,-5956608,297,0,0,33,True,0
112,2675712,-2675712,297,0,0,33,True,0
113,3750912,-3750912,297,0,0,33,True,0
114,3996672,-3996672,297,0,0,33,True,0
115,5071872,-5071872,297,0,0,33,True,0
116,3449856,-3449856,297,0,0,33,True,0
117,4525056,-4525056,297,0,0,33,True,0
118,4770816,-4770816,297,0,0,33,True,0
119,5846016,-5846016,297,0,0,33,True,0
120,3867648,-3867648,297,0,0,33,True,0
121,4942848,-4942848,297,0,0,33,True,0
122,5188608,-5188608,297,0,0,33,True,0
123,6263808,-6263808,297,0,0,33,True,0
124,4641792,-4641792,297,0,0,33,True,0
125,5716992,-5716992,297,0,0,33,True,0
126,5962752,-5962752,297,0,0,33,True,0
127,7037952,-7037952,297,0,0,33,True,0
128,1069056,-1069056,283,0,0,33,True,0
129,2144256,-2144256,297,0,0,33,True,0
130,2390016,-2390016,297,0,0,33,True,0
131,3465216,-3465216,297,0,0,33,True,0
132,1843200,-1843200,297,0,0,33,True,0
133,2918400,-2918400,297,0,0,33,True,0
134,3164160,-3164160,297,0,0,33,True,0
135,4239360,-4239360,297,0,0,33,True,0
136,2260992,-2260992,297,0,0,33,True,0
137,3336192,-3336192,297,0,0,33,True,0
138,3581952,-3581952,297,0,0,33,True,0
139,4657152,-4657152,297,0,0,33,True,0
140,3035136,-3035136,297,0,0,33,True,0
141,4110336,-4110336,297,0,0,33,True,0
142,4356096,-4356096,297,0,0,33,True,0
143,5431296,-5431296,297,0,0,33,True,0
144,2150400,-2150400,297,0,0,33,True,0
145,3225600,-3225600,297,0,0,33,True,0
146,3471360,-3471360,297,0,0,33,True,0
147,4546560,-4546560,297,0,0,33,True,0
148,2924544,-2924544,297,0,0,33,True,0
149,3999744,-3999744,297,0,0,33,True,0
150,4245504,-4245504,297,0,0,33,True,0
151,5320704,-5320704,297,0,0,33,True,0
152,3342336,-3342336,297,0,0,33,True,0
153,4417536,-4417536,297,0,0,33,True,0
154,4663296,-4663296,297,0,0,33,True,0
155,5738496,-5738496,297,0,0,33,True,0
156,4116480,-4116480,297,0,0,33,True,0
157,5191680,-5191680,297,0,0,33,True,0
158,5437440,-5437440,297,0,0,33,True,0
159,6512640,-6512640,297,0,0,33,True,0
160,1760256,-1760256,297,0,0,33,True,0
161,2835456,-2835456,297,0,0,33,True,0
162,3081216,-3081216,297,0,0,33,True,0
163,4156416,-4156416,297,0,0,33,True,0
164,2534400,-2534400,297,0,0,33,True,0
165,3609600,-3609600,297,0,0,33,True,0
166,3855360,-3855360,297,0,0,33,True,0
167,4930560,-4930560,297,0,0,33,True,0
168,2952192,-2952192,297,0,0,33,True,0
169,4027392,-4027392,297,0,0,33,True,0
170,4273152,-4273152,297,0,0,33,True,0
171,5348352,-5348352,297,0,0,33,True,0
172,3726336,-3726336,297,0,0,33,True,0
173,4801536,-4801536,297,0,0,33,True,0
174,5047296,-5047296,297,0,0,33,True,0
175,6122496,-6122496,297,0,0,33,True,0
176,2841600,-2841600,297,0,0,33,True,0
177,3916800,-3916800,297,0,0,33,True,0
178,4162560,-4162560,297,0,0,33,True,0
179,5237760,-5237760,297,0,0,33,True,0
180,3615744,-3615744,297,0,0,33,True,0
181,4690944,-4690944,297,0,0,33,True,0
182,4936704,-4936704,297,0,0,33,True,0
183,6011904,-6011904,297,0,0,33,True,0
184,4033536,-4033536,297,0,0,33,True,0
185,5108736,-5108736,297,0,0,33,True,0
186,5354496,-5354496,297,0,0,33,True,0
187,6429696,-6429696,297,0,0,33,True,0
188,4807680,-4807680,297,0,0,33,True,0
189,5882880,-5882880,297,0,0,33,True,0
190,6128640,-6128640,297,0,0,33,True,0
191,7203840,-7203840,297,0,0,33,True,0
192,1972224,-1972224,297,0,0,33,True,0
193,3047424,-3047424,297,0,0,33,True,0
194,3293184,-3293184,297,0,0,33,True,0
195,4368384,-4368384,297,0,0,33,True,0
196,2746368,-2746368,297,0,0,33,True,0
197,3821568,-3821568,297,0,0,33,True,0
198,4067328,-4067328,297,0,0,33,True,0
199,5142528,-5142528,297,0,0,33,True,0
200,3164160,-3164160,297,0,0,33,True,0
201,4239360,-4239360,297,0,0,33,True,0
202,4485120,-4485120,297,0,0,33,True,0
203,5560320,-5560320,297,0,0,33,True,0
204,3938304,-3938304,297,0,0,33,True,0
205,5013504,-5013504,297,0,0,33,True,0
206,5259264,-5259264,297,0,0,33,True,0
207,6334464,-6334464,297,0,0,33,True,0
208,3053568,-3053568,297,0,0,33,True,0
209,4128768,-4128768,297,0,0,33,True,0
210,4374528,-4374528,297,0,0,33,True,0
211,5449728,-5449728,297,0,0,33,True,0
212,3827712,-3827712,297,0,0,33,True,0
213,4902912,-4902912,297,0,0,33,True,0
214,5148672,-5148672,297,0,0,33,True,0
215,6223872,-6223872,297,0,0,33,True,0
216,4245504,-4245504,297,0,0,33,True,0
217,5320704,-5320704,297,0,0,33,True,0
218,5566464,-5566464,297,0,0,33,True,0
219,6641664,-6641664,297,0,0,33,True,0
220,5019648,-5019648,297,0,0,33,True,0
221,6094848,-6094848,297,0,0,33,True,0
222,6340608,-6340608,297,0,0,33,True,0
223,7415808,-7415808,297,0,0,33,True,0
224,2663424,-2663424,297,0,0,33,True,0
225,3738624,-3738624,297,0,0,33,True,0
226,3984384,-3984384,297,0,0,33,True,0
227,5059584,-5059584,297,0,0,33,True,0
228,3437568,-3437568,297,0,0,33,True,0
229,4512768,-4512768,297,0,0,33,True,0
230,4758528,-4758528,297,0,0,33,True,0
231,5833728,-5833728,297,0,0,33,True,0
232,3855360,-3855360,297,0,0,33,True,0
233,4930560,-4930560,297,0,0,33,True,0
234,5176320,-5176320,297,0,0,33,True,0
235,6251520,-6251520,297,0,0,33,True,0
236,4629504,-4629504,297,0,0,33,True,0
237,5704704,-5704704,297,0,0,33,True,0
238,5950464,-5950464,297,0,0,33,True,0
239,7025664,-7025664,297,0,0,33,True,0
240,3744768,-3744768,297,0,0,33,True,0
241,4819968,-4819968,297,0,0,33,True,0
242,5065728,-5065728,297,0,0,33,True,0
243,6140928,-6140928,297,0,0,33,True,0
244,4518912,-4518912,297,0,0,33,True,0
245,5594112,-5594112,297,0,0,33,True,0
246,5839872,-5839872,297,0,0,33,True,0
247,6915072,-6915072,297,0,0,33,True,0
248,4936704,-4936704,297,0,0,33,True,0
249,6011904,-6011904,297,0,0,33,True,0
250,6257664,-6257664,297,0,0,33,True,0
251,7332864,-7332864,297,0,0,33,True,0
252,5710848,-5710848,297,0,0,33,True,0
253,6786048,-6786048,297,0,0,33,True,0
254,7031808,-7031808,297,0,0,33,True,0
255,8107008,-8107008,297,0,0,33,True,0
256,374784,-374784,237,0,0,33,True,0
257,1449984,-1449984,297,0,0,33,True,0
258,1695744,-1695744,297,0,0,33,True,0
259,2770944,-2770944,297,0,0,33,True,0
260,1148928,-1148928,297,0,0,33,True,0
261,2224128,-2224128,297,0,0,33,True,0
262,2469888,-2469888,297,0,0,33,True,0
263,3545088,-3545088,297,0,0,33,True,0
264,1566720,-1566720,297,0,0,33,True,0
265,2641920,-2641920,297,0,0,33,True,0
266,2887680,-2887680,297,0,0,33,True,0
267,3962880,-3962880,297,0,0,33,True,0
268,2340864,-2340864,297,0,0,33,True,0
269,3416064,-3416064,297,0,0,33,True,0
270,3661824,-3661824,297,0,0,33,True,0
271,4737024,-4737024,297,0,0,33,True,0
272,1456128,-1456128,297,0,0,33,True,0
273,2531328,-2531328,297,0,0,33,True,0
274,2777088,-2777088,297,0,0,33,True,0
275,3852288,-3852288,297,0,0,33,True,0
276,2230272,-2230272,297,0,0,33,True,0
277,3305472,-3305472,297,0,0,33,True,0
278,3551232,-3551232,297,0,0,33,True,0
279,4626432,-4626432,297,0,0,33,True,0
280,2648064,-2648064,297,0,0,33,True,0
281,3723264,-3723264,297,0,0,33,True,0
282,3969024,-3969024,297,0,0,33,True,0
283,5044224,-5044224,297,0,0,33,True,0
284,3422208,-3422208,297,0,0,33,True,0
285,4497408,-4497408,297,0,0,33,True,0
286,4743168,-4743168,297,0,0,33,True,0
287,5818368,-5818368,297,0,0,33,True,0
288,1065984,-1065984,237,0,0,33,True,0
289,2141184,-2141184,297,0,0,33,True,0
290,2386944,-2386944,297,0,0,33,True,0
291,3462144,-3462144,297,0,0,33,True,0
292,1840128,-1840128,297,0,0,33,True,0
293,2915328,-2915328,297,0,0,33,True,0
294,3161088,-3161088,297,0,0,33,True,0
295,4236288,-4236288,297,0,0,33,True,0
296,2257920,-2257920,297,0,0,33,True,0
297,3333120,-3333120,297,0,0,33,True,0
298,3578880,-3578880,297,0,0,33,True,0
299,4654080,-4654080,297,0,0,33,True,0
300,3032064,-3032064,297,0,0,33,True,0
301,4107264,-4107264,297,0,0,33,True,0
302,4353024,-4353024,297,0,0,33,True,0
303,5428224,-5428224,297,0,0,33,True,0
304,2147328,-2147328,297,0,0,33,True,0
305,3222528,-3222528,297,0,0,33,True,0
306,3468288,-3468288,297,0,0,33,True,0
307,4543488,-4543488,297,0,0,33,True,0
308,2921472,-2921472,297,0,0,33,True,0
309,3996672,-3996672,297,0,0,33,True,0
310,4242432,-4242432,297,0,0,33,True,0
311,5317632,-5317632,297,0,0,33,True,0
312,3339264,-3339264,297,0,0,33,True,0
313,4414464,-4414464,297,0,0,33,True,0
314,4660224,-4660224,297,0,0,33,True,0
315,5735424,-5735424,297,0,0,33,True,0
316,4113408,-4113408,297,0,0,33,True,0
317,5188608,-5188608,297,0,0,33,True,0
318,5434368,-5434368,297,0,0,33,True,0
319,6509568,-6509568,297,0,0,33,True,0
320,1277952,-1277952,297,0,0,33,True,0
321,2353152,-2353152,297,0,0,33,True,0
322,2598912,-2598912,297,0,0,33,True,0
323,3674112,-3674112,297,0,0,33,True,0
324,2052096,-2052096,297,0,0,33,True,0
325,3127296,-3127296,297,0,0,33,True,0
326,3373056,-3373056,297,0,0,33,True,0
327,4448256,-4448256,297,0,0,33,True,0
328,2469888,-2469888,297,0,0,33,True,0
329,3545088,-3545088,297,0,0,33,True,0
330,3790848,-3790848,297,0,0,33,True,0
331,4866048,-4866048,297,0,0,33,True,0
332,3244032,-3244032,297,0,0,33,True,0
333,4319232,-4319232,297,0,0,33,True,0
334,4564992,-4564992,297,0,0,33,True,0
335,5640192,-5640192,297,0,0,33,True,0
336,2359296,-2359296,297,0,0,33,True,0
337,3434496,-3434496,297,0,0,33,True,0
338,3680256,-3680256,297,0,0,33,True,0
339,4755456,-4755456,297,0,0,33,True,0
340,3133440,-3133440,297,0,0,33,True,0
341,4208640,-4208640,297,0,0,33,True,0
342,4454400,-4454400,297,0,0,33,True,0
343,5529600,-5529600,297,0,0,33,True,0
344,3551232,-3551232,297,0,0,33,True,0
345,4626432,-4626432,297,0,0,33,True,0
346,4872192,-4872192,297,0,0,33,True,0
347,5947392,-5947392,297,0,0,33,True,0
348,4325376,-4325376,297,0,0,33,True,0
349,5400576,-5400576,297,0,0,33,True,0
350,5646336,-5646336,297,0,0,33,True,0
351,6721536,-6721536,297,0,0,33,True,0
352,1969152,-1969152,297,0,0,33,True,0
353,3044352,-3044352,297,0,0,33,True,0
354,3290112,-3290112,297,0,0,33,True,0
355,4365312,-4365312,297,0,0,33,True,0
356,2743296,-2743296,297,0,0,33,True,0
357,3818496,-3818496,297,0,0,33,True,0
358,4064256,-4064256,297,0,0,33,True,0
359,5139456,-5139456,297,0,0,33,True,0
