edit_id,target_row_id,closure_row_id,relation_id,old_value,new_value,delta_mod,edit_role_code
0,0,8,163,0,1,1,0
1,6,8,163,1,0,1000002,0
2,10,8,163,0,1000002,1000002,0
3,28,8,163,1,1000002,1000001,0
4,32,8,163,1,0,1000002,0
5,6,56,151,0,1,1,1
