closure_row_id,relation_id,original_support_flag,added_by_leak_flag,target_support_count,left_support_count,right_support_count,left_rank,right_rank,square_support_count,square_coefficient_total_mod_p,fingerprint_class_id
0,155,1,0,38,38,38,12,12,4,12,4
1,156,1,0,42,42,42,10,10,4,26,6
2,157,1,0,38,38,38,12,12,2,6,3
3,158,1,0,42,42,42,10,10,4,26,6
4,159,1,0,42,42,42,11,11,5,32,7
5,160,1,0,27,27,27,16,16,2,5,1
6,161,1,0,42,42,42,11,11,5,32,7
7,162,1,0,27,27,27,16,16,2,5,1
8,163,1,0,16,16,16,16,16,1,1,0
9,164,1,0,38,38,38,12,12,2,6,3
10,165,1,0,38,38,38,12,12,4,12,4
11,166,1,0,16,16,16,16,16,1,1,0
12,886,1,0,224,224,224,36,36,10,36,19
13,890,1,0,224,224,224,36,36,10,36,19
14,893,1,0,44,44,44,44,44,1,1,8
15,895,1,0,148,148,148,44,44,5,14,18
16,896,1,0,144,144,144,44,44,4,12,17
17,897,1,0,144,144,144,44,44,4,6,16
18,907,1,0,224,224,224,36,36,10,36,19
19,908,1,0,144,144,144,44,44,4,6,16
20,909,1,0,144,144,144,44,44,4,12,17
21,910,1,0,96,96,96,44,44,2,5,13
22,912,1,0,88,88,88,44,44,2,5,11
23,916,1,0,144,144,144,44,44,4,12,17
24,917,1,0,88,88,88,44,44,2,5,11
25,921,1,0,224,224,224,36,36,10,36,19
26,923,1,0,148,148,148,44,44,5,14,18
27,926,1,0,144,144,144,44,44,4,12,17
28,927,1,0,144,144,144,44,44,4,6,16
29,928,1,0,224,224,224,36,36,10,36,19
30,930,1,0,144,144,144,44,44,3,4,14
31,932,1,0,96,96,96,44,44,2,2,12
32,934,1,0,88,88,88,44,44,2,5,11
33,935,1,0,144,144,144,44,44,3,8,15
34,938,1,0,144,144,144,44,44,3,8,15
35,940,1,0,88,88,88,44,44,2,5,11
36,941,1,0,144,144,144,44,44,3,4,14
37,943,1,0,144,144,144,44,44,3,4,14
38,945,1,0,224,224,224,36,36,10,36,19
39,951,1,0,144,144,144,44,44,3,8,15
40,954,1,0,144,144,144,44,44,4,6,16
41,955,1,0,96,96,96,44,44,2,2,12
42,956,1,0,96,96,96,44,44,2,5,13
43,960,1,0,224,224,224,36,36,10,36,19
44,961,1,0,148,148,148,44,44,5,14,18
45,962,1,0,144,144,144,44,44,3,4,14
46,964,1,0,224,224,224,36,36,10,36,19
47,965,1,0,148,148,148,44,44,5,14,18
48,969,1,0,144,144,144,44,44,3,8,15
49,973,1,0,96,96,96,44,44,2,2,12
50,975,1,0,44,44,44,44,44,1,1,8
51,977,1,0,44,44,44,44,44,1,1,8
52,978,1,0,96,96,96,44,44,2,2,12
53,981,1,0,96,96,96,44,44,2,5,13
54,982,1,0,96,96,96,44,44,2,5,13
55,983,1,0,44,44,44,44,44,1,1,8
56,151,0,1,58,58,58,7,7,9,320,9
57,152,0,1,28,28,28,10,10,3,10,2
58,153,0,1,41,41,41,10,10,6,50,5
59,154,0,1,62,62,62,6,6,9,296,10
