generator_id,old_target_old_pair_residual_nonzero_count,old_pair_columns_with_residual,old_target_rows_with_residual,block_only_extension_possible_flag,cross_boundary_mixing_required_flag
0,126508,2964,56,0,1
1,127386,2964,56,0,1
2,119638,2962,56,0,1
3,126830,2992,56,0,1
4,85096,2722,56,0,1
5,84139,2590,56,0,1
6,87136,2404,56,0,1
7,98299,2602,56,0,1
8,81629,2402,54,0,1
