control_id,challenge_id,case_type_code,public_digest_check_flag,opening_digest_check_flag,source_match_flag,target_match_flag,residual_code_match_flag,expected_accept_flag,actual_accept_flag
0,0,0,1,1,1,1,1,1,1
1,0,1,0,1,1,1,1,0,0
2,0,2,1,0,1,1,1,0,0
3,0,3,1,1,0,1,1,0,0
4,0,4,1,1,1,0,1,0,0
5,0,5,1,1,1,1,0,0,0
6,1,0,1,1,1,1,1,1,1
7,1,1,0,1,1,1,1,0,0
8,1,2,1,0,1,1,1,0,0
9,1,3,1,1,0,1,1,0,0
10,1,4,1,1,1,0,1,0,0
11,1,5,1,1,1,1,0,0,0
12,2,0,1,1,1,1,1,1,1
13,2,1,0,1,1,1,1,0,0
14,2,2,1,0,1,1,1,0,0
15,2,3,1,1,0,1,1,0,0
16,2,4,1,1,1,0,1,0,0
17,2,5,1,1,1,1,0,0,0
18,3,0,1,1,1,1,1,1,1
19,3,1,0,1,1,1,1,0,0
20,3,2,1,0,1,1,1,0,0
21,3,3,1,1,0,1,1,0,0
22,3,4,1,1,1,0,1,0,0
23,3,5,1,1,1,1,0,0,0
24,4,0,1,1,1,1,1,1,1
25,4,1,0,1,1,1,1,0,0
26,4,2,1,0,1,1,1,0,0
27,4,3,1,1,0,1,1,0,0
28,4,4,1,1,1,0,1,0,0
29,4,5,1,1,1,1,0,0,0
30,5,0,1,1,1,1,1,1,1
31,5,1,0,1,1,1,1,0,0
32,5,2,1,0,1,1,1,0,0
33,5,3,1,1,0,1,1,0,0
34,5,4,1,1,1,0,1,0,0
35,5,5,1,1,1,1,0,0,0
36,6,0,1,1,1,1,1,1,1
37,6,1,0,1,1,1,1,0,0
38,6,2,1,0,1,1,1,0,0
39,6,3,1,1,0,1,1,0,0
40,6,4,1,1,1,0,1,0,0
41,6,5,1,1,1,1,0,0,0
42,7,0,1,1,1,1,1,1,1
43,7,1,0,1,1,1,1,0,0
44,7,2,1,0,1,1,1,0,0
45,7,3,1,1,0,1,1,0,0
46,7,4,1,1,1,0,1,0,0
47,7,5,1,1,1,1,0,0,0
48,8,0,1,1,1,1,1,1,1
49,8,1,0,1,1,1,1,0,0
50,8,2,1,0,1,1,1,0,0
51,8,3,1,1,0,1,1,0,0
52,8,4,1,1,1,0,1,0,0
53,8,5,1,1,1,1,0,0,0
54,9,0,1,1,1,1,1,1,1
55,9,1,0,1,1,1,1,0,0
56,9,2,1,0,1,1,1,0,0
57,9,3,1,1,0,1,1,0,0
58,9,4,1,1,1,0,1,0,0
59,9,5,1,1,1,1,0,0,0
60,10,0,1,1,1,1,1,1,1
61,10,1,0,1,1,1,1,0,0
62,10,2,1,0,1,1,1,0,0
63,10,3,1,1,0,1,1,0,0
64,10,4,1,1,1,0,1,0,0
65,10,5,1,1,1,1,0,0,0
66,11,0,1,1,1,1,1,1,1
67,11,1,0,1,1,1,1,0,0
68,11,2,1,0,1,1,1,0,0
69,11,3,1,1,0,1,1,0,0
70,11,4,1,1,1,0,1,0,0
71,11,5,1,1,1,1,0,0,0
72,12,0,1,1,1,1,1,1,1
73,12,1,0,1,1,1,1,0,0
