orbit_id,irrep_id,multiplicity_mod,multiplicity_int,degree,dimension_contribution
0,0,1,1,1,1
0,1,0,0,1,0
0,2,0,0,1,0
0,3,0,0,1,0
0,4,0,0,2,0
0,5,0,0,2,0
0,6,1,1,2,2
0,7,0,0,2,0
0,8,0,0,3,0
0,9,1,1,3,3
0,10,0,0,3,0
0,11,0,0,3,0
0,12,0,0,3,0
0,13,0,0,3,0
0,14,1,1,3,3
0,15,0,0,3,0
0,16,0,0,4,0
0,17,0,0,6,0
0,18,0,0,6,0
0,19,1,1,6,6
0,20,0,0,6,0
0,21,0,0,9,0
0,22,0,0,9,0
0,23,0,0,9,0
0,24,1,1,9,9
0,25,3,3,18,54
0,26,0,0,18,0
0,27,0,0,18,0
0,28,1,1,18,18
0,29,1,1,18,18
0,30,2,2,18,36
0,31,0,0,18,0
0,32,1,1,18,18
0,33,0,0,18,0
0,34,1,1,18,18
0,35,1,1,18,18
0,36,0,0,18,0
0,37,2,2,24,48
0,38,0,0,24,0
0,39,1,1,36,36
0,40,2,2,48,96
1,0,1,1,1,1
1,1,0,0,1,0
1,2,0,0,1,0
1,3,1,1,1,1
1,4,0,0,2,0
1,5,0,0,2,0
1,6,0,0,2,0
1,7,0,0,2,0
1,8,0,0,3,0
1,9,0,0,3,0
1,10,0,0,3,0
1,11,1,1,3,3
1,12,0,0,3,0
1,13,0,0,3,0
1,14,1,1,3,3
1,15,0,0,3,0
1,16,1,1,4,4
1,17,1,1,6,6
1,18,1,1,6,6
1,19,0,0,6,0
1,20,0,0,6,0
1,21,0,0,9,0
1,22,0,0,9,0
1,23,0,0,9,0
1,24,0,0,9,0
1,25,1,1,18,18
1,26,0,0,18,0
1,27,1,1,18,18
1,28,0,0,18,0
1,29,0,0,18,0
1,30,0,0,18,0
1,31,0,0,18,0
1,32,0,0,18,0
1,33,0,0,18,0
1,34,1,1,18,18
1,35,0,0,18,0
1,36,1,1,18,18
1,37,2,2,24,48
1,38,0,0,24,0
1,39,0,0,36,0
1,40,1,1,48,48
2,0,1,1,1,1
2,1,0,0,1,0
2,2,0,0,1,0
2,3,0,0,1,0
2,4,0,0,2,0
2,5,1,1,2,2
2,6,1,1,2,2
2,7,0,0,2,0
2,8,1,1,3,3
2,9,0,0,3,0
2,10,1,1,3,3
2,11,0,0,3,0
2,12,0,0,3,0
2,13,0,0,3,0
2,14,0,0,3,0
2,15,0,0,3,0
2,16,1,1,4,4
2,17,0,0,6,0
2,18,1,1,6,6
2,19,1,1,6,6
2,20,0,0,6,0
2,21,1,1,9,9
2,22,0,0,9,0
2,23,0,0,9,0
2,24,0,0,9,0
2,25,0,0,18,0
2,26,1,1,18,18
2,27,0,0,18,0
2,28,0,0,18,0
2,29,1,1,18,18
2,30,1,1,18,18
2,31,0,0,18,0
2,32,0,0,18,0
2,33,0,0,18,0
2,34,1,1,18,18
2,35,0,0,18,0
2,36,0,0,18,0
2,37,0,0,24,0
2,38,0,0,24,0
2,39,1,1,36,36
2,40,0,0,48,0
3,0,1,1,1,1
3,1,0,0,1,0
3,2,1,1,1,1
3,3,0,0,1,0
3,4,0,0,2,0
3,5,2,2,2,4
3,6,1,1,2,2
3,7,1,1,2,2
3,8,2,2,3,6
3,9,1,1,3,3
3,10,0,0,3,0
3,11,0,0,3,0
3,12,2,2,3,6
3,13,1,1,3,3
3,14,0,0,3,0
3,15,0,0,3,0
3,16,2,2,4,8
3,17,0,0,6,0
3,18,0,0,6,0
3,19,3,3,6,18
3,20,3,3,6,18
3,21,0,0,9,0
3,22,0,0,9,0
3,23,0,0,9,0
3,24,0,0,9,0
3,25,1,1,18,18
3,26,3,3,18,54
3,27,1,1,18,18
3,28,0,0,18,0
3,29,1,1,18,18
3,30,0,0,18,0
3,31,1,1,18,18
3,32,0,0,18,0
3,33,1,1,18,18
3,34,3,3,18,54
3,35,1,1,18,18
3,36,0,0,18,0
3,37,1,1,24,24
3,38,1,1,24,24
3,39,4,4,36,144
3,40,2,2,48,96
4,0,1,1,1,1
4,1,1,1,1,1
4,2,0,0,1,0
4,3,0,0,1,0
4,4,0,0,2,0
4,5,0,0,2,0
4,6,0,0,2,0
4,7,0,0,2,0
4,8,1,1,3,3
4,9,1,1,3,3
4,10,0,0,3,0
4,11,0,0,3,0
4,12,0,0,3,0
4,13,0,0,3,0
4,14,1,1,3,3
4,15,1,1,3,3
4,16,0,0,4,0
4,17,0,0,6,0
4,18,0,0,6,0
4,19,0,0,6,0
4,20,0,0,6,0
4,21,0,0,9,0
4,22,0,0,9,0
4,23,1,1,9,9
4,24,1,1,9,9
4,25,2,2,18,36
4,26,0,0,18,0
4,27,0,0,18,0
4,28,2,2,18,36
4,29,1,1,18,18
4,30,1,1,18,18
4,31,1,1,18,18
4,32,1,1,18,18
4,33,0,0,18,0
4,34,2,2,18,36
4,35,2,2,18,36
4,36,0,0,18,0
4,37,2,2,24,48
4,38,2,2,24,48
4,39,2,2,36,72
4,40,2,2,48,96
5,0,1,1,1,1
5,1,0,0,1,0
5,2,1,1,1,1
5,3,0,0,1,0
5,4,0,0,2,0
5,5,2,2,2,4
5,6,0,0,2,0
5,7,0,0,2,0
5,8,1,1,3,3
5,9,0,0,3,0
5,10,1,1,3,3
5,11,0,0,3,0
5,12,1,1,3,3
5,13,0,0,3,0
5,14,1,1,3,3
5,15,0,0,3,0
5,16,0,0,4,0
5,17,0,0,6,0
5,18,2,2,6,12
5,19,0,0,6,0
5,20,0,0,6,0
5,21,1,1,9,9
5,22,0,0,9,0
5,23,1,1,9,9
5,24,0,0,9,0
5,25,3,3,18,54
5,26,4,4,18,72
5,27,0,0,18,0
5,28,1,1,18,18
5,29,2,2,18,36
5,30,0,0,18,0
5,31,2,2,18,36
5,32,0,0,18,0
5,33,3,3,18,54
5,34,4,4,18,72
5,35,0,0,18,0
5,36,1,1,18,18
5,37,2,2,24,48
5,38,2,2,24,48
5,39,2,2,36,72
5,40,4,4,48,192
