irrep_id,idempotent_c0_mod,idempotent_c1_mod,idempotent_c2_mod,idempotent_c3_mod,idempotent_c4_mod,idempotent_c5_mod,idempotent_c6_mod,idempotent_c7_mod,idempotent_c8_mod,idempotent_c9_mod,idempotent_c10_mod,idempotent_c11_mod,idempotent_c12_mod,idempotent_c13_mod,idempotent_c14_mod,idempotent_c15_mod,idempotent_c16_mod,idempotent_c17_mod,idempotent_c18_mod,idempotent_c19_mod,idempotent_c20_mod,idempotent_c21_mod,idempotent_c22_mod,idempotent_c23_mod,idempotent_c24_mod,idempotent_c25_mod,idempotent_c26_mod,idempotent_c27_mod,idempotent_c28_mod,idempotent_c29_mod,idempotent_c30_mod,idempotent_c31_mod,idempotent_c32_mod,idempotent_c33_mod,idempotent_c34_mod,idempotent_c35_mod,idempotent_c36_mod,idempotent_c37_mod,idempotent_c38_mod,idempotent_c39_mod,idempotent_c40_mod
0,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490
1,6490,6490,3517,3517,3517,3517,6490,6490,6490,6490,3517,3517,6490,6490,6490,3517,6490,3517,6490,6490,3517,3517,3517,3517,6490,6490,3517,3517,6490,6490,3517,3517,6490,6490,6490,6490,6490,6490,3517,6490,6490
2,6490,3517,6490,6490,3517,3517,6490,6490,3517,3517,6490,3517,6490,6490,6490,6490,3517,6490,6490,6490,3517,3517,3517,3517,6490,6490,6490,6490,3517,3517,6490,3517,6490,6490,6490,6490,3517,3517,6490,6490,3517
3,6490,3517,3517,3517,6490,6490,6490,6490,3517,3517,3517,6490,6490,6490,6490,3517,3517,3517,6490,6490,6490,6490,6490,6490,6490,6490,3517,3517,3517,3517,3517,6490,6490,6490,6490,6490,3517,3517,3517,6490,3517
4,5946,0,2973,4061,0,0,7034,7034,0,0,4061,0,5946,5946,7034,2973,0,4061,7034,5946,0,0,0,0,5946,5946,4061,4061,0,0,4061,0,5946,5946,5946,5946,0,0,4061,5946,0
5,5946,0,7034,5946,0,0,7034,7034,0,0,5946,0,5946,5946,7034,7034,0,5946,7034,5946,0,0,0,0,5946,5946,5946,5946,0,0,5946,0,5946,5946,5946,5946,0,0,5946,5946,0
6,5946,5946,0,0,0,0,5946,7034,7034,7034,0,0,5946,7034,7034,0,5946,0,5946,7034,0,0,0,0,5946,5946,0,0,5946,5946,0,0,5946,5946,5946,5946,5946,5946,0,5946,5946
7,5946,4061,0,0,0,0,5946,7034,2973,2973,0,0,5946,7034,7034,0,4061,0,5946,7034,0,0,0,0,5946,5946,0,0,4061,4061,0,0,5946,5946,5946,5946,4061,4061,0,5946,4061
8,8375,9463,0,9463,544,9463,0,0,9463,544,1632,544,544,544,0,0,544,9463,0,8375,9463,544,544,9463,544,8375,9463,1632,9463,9463,1632,544,544,8375,8375,544,9463,544,9463,8375,9463
9,8375,9463,0,544,9463,544,0,0,9463,544,8375,9463,544,544,0,0,544,544,0,8375,544,9463,9463,544,544,8375,544,8375,9463,9463,8375,9463,544,8375,8375,544,9463,544,544,8375,9463
10,8375,9463,9463,9463,544,9463,8375,0,0,0,9463,9463,544,0,0,544,9463,9463,544,0,544,9463,544,544,8375,8375,544,544,9463,9463,9463,544,544,544,8375,8375,1632,1632,9463,544,1632
11,8375,9463,544,544,9463,544,8375,0,0,0,544,544,544,0,0,9463,9463,544,544,0,9463,544,9463,9463,8375,8375,9463,9463,9463,9463,544,9463,544,544,8375,8375,1632,1632,544,544,1632
12,8375,544,0,9463,9463,544,0,0,544,9463,1632,9463,544,544,0,0,9463,9463,0,8375,544,9463,9463,544,544,8375,9463,1632,544,544,1632,9463,544,8375,8375,544,544,9463,9463,8375,544
13,8375,544,0,544,544,9463,0,0,544,9463,8375,544,544,544,0,0,9463,544,0,8375,9463,544,544,9463,544,8375,544,8375,544,544,8375,544,544,8375,8375,544,544,9463,544,8375,544
14,8375,544,9463,9463,9463,544,8375,0,0,0,9463,544,544,0,0,544,544,9463,544,0,9463,544,9463,9463,8375,8375,544,544,544,544,9463,9463,544,544,8375,8375,8375,8375,9463,544,8375
15,8375,544,544,544,544,9463,8375,0,0,0,544,9463,544,0,0,9463,544,544,544,0,544,9463,544,544,8375,8375,9463,9463,544,544,544,544,544,544,8375,8375,8375,8375,544,544,8375
16,3770,0,0,0,0,0,8122,5946,0,0,0,0,3770,8122,5946,0,0,0,8122,8122,0,0,0,0,3770,3770,0,0,0,0,0,0,3770,3770,3770,3770,0,0,0,3770,0
17,3479,0,8919,2176,0,0,3264,0,0,0,2176,0,2176,0,0,1088,0,2176,8919,0,0,0,0,0,3479,3479,7831,7831,0,0,2176,0,2176,2176,3479,3479,0,0,2176,2176,0
18,3479,0,1088,7831,0,0,3264,0,0,0,7831,0,2176,0,0,8919,0,7831,8919,0,0,0,0,0,3479,3479,2176,2176,0,0,7831,0,2176,2176,3479,3479,0,0,7831,2176,0
19,3479,7831,0,0,0,0,0,0,1088,8919,0,0,2176,8919,0,0,2176,0,0,3264,0,0,0,0,2176,3479,0,0,7831,7831,0,0,2176,3479,3479,2176,7831,2176,0,3479,7831
20,3479,2176,0,0,0,0,0,0,8919,1088,0,0,2176,8919,0,0,7831,0,0,3264,0,0,0,0,2176,3479,0,0,2176,2176,0,0,2176,3479,3479,2176,2176,7831,0,3479,2176
21,5326,8375,0,8375,8375,8375,0,0,0,0,4896,1632,8375,0,0,0,1632,8375,0,0,1632,1632,8375,1632,4896,5326,1632,5111,8375,8375,4896,8375,8375,4896,5326,4896,4896,5111,8375,4896,4896
22,5326,8375,0,1632,1632,1632,0,0,0,0,5111,8375,8375,0,0,0,1632,1632,0,0,8375,8375,1632,8375,4896,5326,8375,4896,8375,8375,5111,1632,8375,4896,5326,4896,4896,5111,1632,4896,4896
23,5326,1632,0,8375,1632,1632,0,0,0,0,4896,8375,8375,0,0,0,8375,8375,0,0,8375,8375,1632,8375,4896,5326,1632,5111,1632,1632,4896,1632,8375,4896,5326,4896,5111,4896,8375,4896,5111
24,5326,1632,0,1632,8375,8375,0,0,0,0,5111,1632,8375,0,0,0,8375,1632,0,0,1632,1632,8375,1632,4896,5326,8375,4896,1632,1632,5111,8375,8375,4896,5326,4896,5111,4896,1632,4896,5111
25,1290,3479,0,3479,3479,0,0,0,0,0,430,0,6528,0,0,0,0,3479,0,0,0,0,6528,0,430,9577,0,0,3479,6528,6528,3479,3479,6528,3479,6528,430,0,6528,430,6528
26,1290,3479,0,6958,0,0,0,0,0,0,0,0,3479,0,0,0,0,3049,0,0,6528,0,0,3479,430,9577,0,0,3479,6528,0,0,6528,3479,3479,6528,9577,0,0,9577,3479
27,1290,3479,0,3049,0,0,0,0,0,0,0,0,3479,0,0,0,0,6958,0,0,3479,0,0,6528,430,9577,0,0,3479,6528,0,0,6528,3479,3479,6528,9577,0,0,9577,3479
28,1290,3479,0,6528,6528,0,0,0,0,0,9577,0,6528,0,0,0,0,6528,0,0,0,0,3479,0,430,9577,0,0,3479,6528,3479,6528,3479,6528,3479,6528,430,0,3479,430,6528
29,1290,6958,0,3479,0,0,0,0,0,0,9577,3479,3479,0,0,0,0,3479,0,0,0,6528,0,0,9577,9577,0,0,3049,0,3479,0,6528,6528,3479,3479,0,0,6528,430,0
30,1290,6958,0,6528,0,0,0,0,0,0,430,6528,3479,0,0,0,0,6528,0,0,0,3479,0,0,9577,9577,0,0,3049,0,6528,0,6528,6528,3479,3479,0,0,3479,430,0
31,1290,3049,0,3479,0,0,0,0,0,0,9577,6528,3479,0,0,0,0,3479,0,0,0,3479,0,0,9577,9577,0,0,6958,0,3479,0,6528,6528,3479,3479,0,0,6528,430,0
32,1290,3049,0,6528,0,0,0,0,0,0,430,3479,3479,0,0,0,0,6528,0,0,0,6528,0,0,9577,9577,0,0,6958,0,6528,0,6528,6528,3479,3479,0,0,3479,430,0
33,1290,6528,0,3479,6528,0,0,0,0,0,430,0,6528,0,0,0,0,3479,0,0,0,0,3479,0,430,9577,0,0,6528,3479,6528,6528,3479,6528,3479,6528,9577,0,6528,430,3479
34,1290,6528,0,6958,0,0,0,0,0,0,0,0,3479,0,0,0,0,3049,0,0,3479,0,0,6528,430,9577,0,0,6528,3479,0,0,6528,3479,3479,6528,430,0,0,9577,6528
35,1290,6528,0,3049,0,0,0,0,0,0,0,0,3479,0,0,0,0,6958,0,0,6528,0,0,3479,430,9577,0,0,6528,3479,0,0,6528,3479,3479,6528,430,0,0,9577,6528
36,1290,6528,0,6528,3479,0,0,0,0,0,9577,0,6528,0,0,0,0,6528,0,0,0,0,6528,0,430,9577,0,0,6528,3479,3479,3479,3479,6528,3479,6528,9577,0,3479,430,3479
37,5629,0,0,0,2606,0,0,4352,0,0,0,0,0,0,6958,0,0,0,0,0,0,0,0,0,0,5212,0,0,0,0,0,7401,0,0,4795,0,0,0,0,0,0
38,5629,0,0,0,7401,0,0,4352,0,0,0,0,0,0,6958,0,0,0,0,0,0,0,0,0,0,5212,0,0,0,0,0,2606,0,0,4795,0,0,0,0,0,0
39,5160,0,0,0,0,0,0,0,0,0,0,0,6098,0,0,0,0,0,0,0,0,0,0,0,8287,8287,0,0,0,0,0,0,3909,3909,3909,3909,0,0,0,8287,0
40,2502,0,0,0,0,0,0,1303,0,0,0,0,0,0,6098,0,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,9173,0,0,0,0,0,0
