observable_id,observable_code,value
0,0,1
1,1,1
2,2,1
3,3,9
4,4,56
5,5,4
6,6,60
7,7,175616
8,8,936661
9,9,924257
10,10,80990
11,11,125386
12,12,922141
13,13,80954
14,14,125169
15,15,9
16,16,1
17,17,0
