atom_id,coordinate_mask,coordinate_weight,complement_atom_id,complement_coordinate_mask,grade3_flag
0,7,3,19,56,1
1,11,3,18,52,1
2,19,3,17,44,1
3,35,3,16,28,1
4,13,3,15,50,1
5,21,3,14,42,1
6,37,3,13,26,1
7,25,3,12,38,1
8,41,3,11,22,1
9,49,3,10,14,1
10,14,3,9,49,1
11,22,3,8,41,1
12,38,3,7,25,1
13,26,3,6,37,1
14,42,3,5,21,1
15,50,3,4,13,1
16,28,3,3,35,1
17,44,3,2,19,1
18,52,3,1,11,1
19,56,3,0,7,1
