edge_id,left_atom_id,right_atom_id,left_coordinate_mask,right_coordinate_mask,hamming_distance,intersection_size,johnson_edge_flag
0,0,1,7,11,2,2,1
1,0,2,7,19,2,2,1
2,0,3,7,35,2,2,1
3,0,4,7,13,2,2,1
4,0,5,7,21,2,2,1
5,0,6,7,37,2,2,1
6,0,10,7,14,2,2,1
7,0,11,7,22,2,2,1
8,0,12,7,38,2,2,1
9,1,2,11,19,2,2,1
10,1,3,11,35,2,2,1
11,1,4,11,13,2,2,1
12,1,7,11,25,2,2,1
13,1,8,11,41,2,2,1
14,1,10,11,14,2,2,1
15,1,13,11,26,2,2,1
16,1,14,11,42,2,2,1
17,2,3,19,35,2,2,1
18,2,5,19,21,2,2,1
19,2,7,19,25,2,2,1
20,2,9,19,49,2,2,1
21,2,11,19,22,2,2,1
22,2,13,19,26,2,2,1
23,2,15,19,50,2,2,1
24,3,6,35,37,2,2,1
25,3,8,35,41,2,2,1
26,3,9,35,49,2,2,1
27,3,12,35,38,2,2,1
28,3,14,35,42,2,2,1
29,3,15,35,50,2,2,1
30,4,5,13,21,2,2,1
31,4,6,13,37,2,2,1
32,4,7,13,25,2,2,1
33,4,8,13,41,2,2,1
34,4,10,13,14,2,2,1
35,4,16,13,28,2,2,1
36,4,17,13,44,2,2,1
37,5,6,21,37,2,2,1
38,5,7,21,25,2,2,1
39,5,9,21,49,2,2,1
40,5,11,21,22,2,2,1
41,5,16,21,28,2,2,1
42,5,18,21,52,2,2,1
43,6,8,37,41,2,2,1
44,6,9,37,49,2,2,1
45,6,12,37,38,2,2,1
46,6,17,37,44,2,2,1
47,6,18,37,52,2,2,1
48,7,8,25,41,2,2,1
49,7,9,25,49,2,2,1
50,7,13,25,26,2,2,1
51,7,16,25,28,2,2,1
52,7,19,25,56,2,2,1
53,8,9,41,49,2,2,1
54,8,14,41,42,2,2,1
55,8,17,41,44,2,2,1
56,8,19,41,56,2,2,1
57,9,15,49,50,2,2,1
58,9,18,49,52,2,2,1
59,9,19,49,56,2,2,1
60,10,11,14,22,2,2,1
61,10,12,14,38,2,2,1
62,10,13,14,26,2,2,1
63,10,14,14,42,2,2,1
64,10,16,14,28,2,2,1
65,10,17,14,44,2,2,1
66,11,12,22,38,2,2,1
67,11,13,22,26,2,2,1
68,11,15,22,50,2,2,1
69,11,16,22,28,2,2,1
70,11,18,22,52,2,2,1
71,12,14,38,42,2,2,1
72,12,15,38,50,2,2,1
73,12,17,38,44,2,2,1
74,12,18,38,52,2,2,1
75,13,14,26,42,2,2,1
76,13,15,26,50,2,2,1
77,13,16,26,28,2,2,1
78,13,19,26,56,2,2,1
79,14,15,42,50,2,2,1
80,14,17,42,44,2,2,1
81,14,19,42,56,2,2,1
82,15,18,50,52,2,2,1
83,15,19,50,56,2,2,1
84,16,17,28,44,2,2,1
85,16,18,28,52,2,2,1
86,16,19,28,56,2,2,1
87,17,18,44,52,2,2,1
88,17,19,44,56,2,2,1
89,18,19,52,56,2,2,1
