visible_index,parity,decagon_index,atom_id,coordinate_mask,seed_atom_id,affine_from_seed_atom_id,decagon_match_flag
0,0,0,0,7,0,0,1
1,1,0,1,11,1,1,1
2,0,1,2,19,0,2,1
3,1,1,5,21,1,5,1
4,0,2,11,22,0,11,1
5,1,2,15,50,1,15,1
6,0,3,13,26,0,13,1
7,1,3,10,14,1,10,1
8,0,4,16,28,0,16,1
9,1,4,7,25,1,7,1
10,0,5,19,56,0,19,1
11,1,5,18,52,1,18,1
12,0,6,17,44,0,17,1
13,1,6,14,42,1,14,1
14,0,7,8,41,0,8,1
15,1,7,4,13,1,4,1
16,0,8,6,37,0,6,1
17,1,8,9,49,1,9,1
18,0,9,3,35,0,3,1
19,1,9,12,38,1,12,1
