schema_id,schema_code,row_count,atom_key_flag,rim_key_flag,basis_key_flag,semantic_operation_flag,shared_transition_key_flag
0,0,20,1,0,0,0,0
1,1,90,1,0,0,0,0
2,2,20,1,1,0,0,0
3,3,20,1,1,0,0,0
4,4,642,0,0,1,0,0
5,5,642,0,0,1,0,0
