visible_edge_id,source_atom_id,target_atom_id,source_coordinate_mask,target_coordinate_mask,hamming_distance,intersection_size,johnson_edge_flag,visible_delta_t,visible_accumulated_time
0,0,1,7,11,2,2,1,1,1
1,1,2,11,19,2,2,1,1,2
2,2,5,19,21,2,2,1,1,3
3,5,11,21,22,2,2,1,1,4
4,11,15,22,50,2,2,1,1,5
5,15,13,50,26,2,2,1,1,6
6,13,10,26,14,2,2,1,1,7
7,10,16,14,28,2,2,1,1,8
8,16,7,28,25,2,2,1,1,9
9,7,19,25,56,2,2,1,1,10
10,19,18,56,52,2,2,1,1,11
11,18,17,52,44,2,2,1,1,12
12,17,14,44,42,2,2,1,1,13
13,14,8,42,41,2,2,1,1,14
14,8,4,41,13,2,2,1,1,15
15,4,6,13,37,2,2,1,1,16
16,6,9,37,49,2,2,1,1,17
17,9,3,49,35,2,2,1,1,18
18,3,12,35,38,2,2,1,1,19
19,12,0,38,7,2,2,1,1,20
