power_id,visible_shift_mod20,cycle_match_count,identity_match_count,complement_match_count,even_seed_atom_id,odd_seed_atom_id
0,0,20,20,0,0,1
1,2,20,0,0,2,5
2,4,20,0,0,11,15
3,6,20,0,0,13,10
4,8,20,0,0,16,7
5,10,20,0,20,19,18
6,12,20,0,0,17,14
7,14,20,0,0,8,4
8,16,20,0,0,6,9
9,18,20,0,0,3,12
10,0,20,20,0,0,1
