shell,h2_basis_representatives,zero_actor_images,nonzero_actor_images,unique_referenced_three_level_profiles,actor_image_support_min,actor_image_support_median,actor_image_support_max,uncertified_references,positivity_status
12,547,1,546,650,0,4.0,16,0,PASS
16,547,1,546,649,0,4.0,16,0,PASS
