source_sector,raw_sector,block_dimension,matrix_unit_count,coefficient_source,previous_normalization_status,convention_status,convention_anchor,convention_rule,identity_gl_transform,mathematical_ambiguity_group,mathematical_projective_gauge_dimension,prior_unanchored_projective_gauge_dimension,repo_convention_residual_gauge_dimension,mathematical_ambiguity_retained,diagonal_sum_equals_central_page,direct_matrix_unit_product_failures,matrix_unit_block_sha256,perennial_id,coordinate_fingerprint_id
0,32,10,100,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_10(F_1000003),99,99,0,True,True,0,82e8333dbe71597a0144996d5a00627d85df2080aea1da7ae4b593274a5e8357,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
1,25,6,36,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_6(F_1000003),35,35,0,True,True,0,5be0e7c3fd6fbcdebb7c153f6e2755485305562eaa1a372708514552a511cdcd,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
2,23,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,d5584114f6fe747b519fdc70c10fd0bbb218f046f17498ee7b56ababf2157911,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
3,12,5,25,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_5(F_1000003),24,24,0,True,True,0,d4aba7d000735040cebe0480195d48d35e9f1dc15e5e5ae3adfc482f63d51104,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
4,28,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,3f32f687537c460e87615be57ae879b83a187c5f944415067e18d643add259c1,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
5,21,2,4,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_2(F_1000003),3,3,0,True,True,0,28f6878577e44b5610ad9c0d65bb36e4fe95260c7cffa8830814fff0b0a298d3,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
6,9,2,4,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_ANCHORED,EXTERNAL_REGISTERED_SUPPORT_CONVENTION,promoted registered support rows fix the stored basis,identity transform relative to registered support basis,True,PGL_2(F_1000003),3,0,0,True,True,0,78a0f56c495057845b37800292ad88ee96746caa24cc7bffb55b3b80c13b1d9c,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
7,17,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,97c5c26ad306bb60d864fbd71e531cb8729257de04f5fed3b15edaac8ff529f7,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
8,18,3,9,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_3(F_1000003),8,8,0,True,True,0,2b694ed015f58cfac95051b72c0bd9d64dafe584e9333f0701b137e93ceb3673,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
9,22,3,9,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_3(F_1000003),8,8,0,True,True,0,576f09cc570650c9ae17aa1d48862004bf276d30dcc52d1a8b20974528c07613,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
10,24,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,9c49b8e8ba8bf51aa1a663ac4019a08eb08ebbcc5b838aaa162678ad79995432,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
11,6,5,25,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_5(F_1000003),24,24,0,True,True,0,fe81a9b6c0fcb1dd55c7ffeae5892d51f430b6b3d80416dde6c2cd315055ccce,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
12,14,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,4fe11932b453f117aad357fbcc44e43193ff00f7939c1fa932439aeabf27f45b,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
13,3,2,4,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_2(F_1000003),3,3,0,True,True,0,a5c04648d4fcad74d355370a6d5806baed333b132d1efd244cd2a39b4a246f0a,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
14,27,5,25,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_5(F_1000003),24,24,0,True,True,0,3be86c019ac41d4b56a70442ad038948ee88907cc89eca55290aaf37ff69ec96,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
15,37,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,87a9f66cb1f0674678ae6e6108981f7d630fd652824f026a7d131dfac5108b96,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
16,7,3,9,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_3(F_1000003),8,8,0,True,True,0,933f83e0e1f30b2dab316d2016a8a09d19a98b0f1d4362c91335979a4ae00f89,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
17,31,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,2a2fc17b7c332a1b58b4dfea11fed26db9f1e94538172f69f9354e5597ab836c,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
18,20,6,36,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_6(F_1000003),35,35,0,True,True,0,080fed8553f6a181b88d0460c4103f47c77d0ba883646b2f28bf4cb50a4f7c2b,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
19,5,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,b56eb1140e1ac047b51678617f616b9b3faabb51565b0ec5d5154e5cbf112f2a,a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a
20,11,2,4,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_2(F_1000003),3,3,0,True,True,0,294b6a97c6f2a4d6209b9681fc71dc820385defcc90dae917a854205f5159bba,a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051
21,33,2,4,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_2(F_1000003),3,3,0,True,True,0,3638946e82fc5cd3a74d304af8ea2a87b52c7e1a884c52f7db282d2ed3bca27f,a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1
22,36,2,4,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_2(F_1000003),3,3,0,True,True,0,791ee191030cb6fa41da52790cc89683e945b951742c8d456e25d6108d49c0a1,a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824
23,0,3,9,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_3(F_1000003),8,8,0,True,True,0,37b6bc11a61ccbdac32a00cf282cec5448b328277d8d348743227ee7ff4831b2,a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c
