quotient_index,source_atom,pivot_atom,source_kernel_value,q_pub_value,time_support_flag,basis_flag
0,0,6,0,1,1,1
1,1,6,0,0,0,1
2,2,6,0,0,0,1
3,3,6,364340985,0,0,1
4,4,6,0,0,0,1
5,5,6,0,0,0,1
6,7,6,0,0,0,1
7,8,6,0,0,0,1
8,9,6,0,0,0,1
9,10,6,0,0,0,1
10,11,6,0,0,0,1
11,12,6,0,0,0,1
12,13,6,0,0,0,1
13,14,6,0,0,0,1
14,15,6,0,0,0,1
15,16,6,0,0,0,1
16,17,6,0,0,0,1
17,18,6,0,0,0,1
18,19,6,0,0,0,1
