pivot_id,pivot_type,positive_increment,negative_increment,zero_increment,pivot_sign,remaining_dimension_before,remaining_dimension_after
0,2,1,1,0,1,19,17
1,1,1,0,0,1,17,16
2,1,0,1,0,-1,16,15
3,1,1,0,0,1,15,14
4,1,0,1,0,-1,14,13
5,1,1,0,0,1,13,12
6,1,0,1,0,-1,12,11
7,1,1,0,0,1,11,10
8,1,0,1,0,-1,10,9
9,1,1,0,0,1,9,8
10,1,1,0,0,1,8,7
11,1,0,1,0,-1,7,6
12,1,1,0,0,1,6,5
13,1,1,0,0,1,5,4
14,1,0,1,0,-1,4,3
15,1,0,1,0,-1,3,2
16,1,1,0,0,1,2,1
17,1,1,0,0,1,1,0
