decision_id,decision_code,value,certified_flag,obstruction_flag
0,0,2,1,0
1,1,19,1,0
2,2,19,1,0
3,3,1180,1,0
4,4,1,1,0
5,5,1,1,0
6,6,0,0,1
7,7,1,1,0
