entry_id,row_quotient_index,col_quotient_index,row_atom,col_atom,quotient_value,diagonal_flag,nonzero_flag
0,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0
2,0,2,0,2,0,0,0
3,0,3,0,3,0,0,0
4,0,4,0,4,0,0,0
5,0,5,0,5,924978992,0,1
6,0,6,0,7,0,0,0
7,0,7,0,8,0,0,0
8,0,8,0,9,0,0,0
9,0,9,0,10,4894010564,0,1
10,0,10,0,11,7484552460,0,1
11,0,11,0,12,4234164820,0,1
12,0,12,0,13,0,0,0
13,0,13,0,14,0,0,0
14,0,14,0,15,0,0,0
15,0,15,0,16,0,0,0
16,0,16,0,17,0,0,0
17,0,17,0,18,0,0,0
18,0,18,0,19,4223612158,0,1
19,1,0,1,0,0,0,0
20,1,1,1,1,0,1,0
21,1,2,1,2,0,0,0
22,1,3,1,3,2789315864,0,1
23,1,4,1,4,2357260089,0,1
24,1,5,1,5,0,0,0
25,1,6,1,7,0,0,0
26,1,7,1,8,0,0,0
27,1,8,1,9,0,0,0
28,1,9,1,10,0,0,0
29,1,10,1,11,0,0,0
30,1,11,1,12,0,0,0
31,1,12,1,13,4355292939,0,1
32,1,13,1,14,0,0,0
33,1,14,1,15,0,0,0
34,1,15,1,16,0,0,0
35,1,16,1,17,0,0,0
36,1,17,1,18,12812636930,0,1
37,1,18,1,19,0,0,0
38,2,0,2,0,0,0,0
39,2,1,2,1,0,0,0
40,2,2,2,2,0,1,0
41,2,3,2,3,0,0,0
42,2,4,2,4,718397382,0,1
43,2,5,2,5,4474129646,0,1
44,2,6,2,7,0,0,0
45,2,7,2,8,0,0,0
46,2,8,2,9,0,0,0
47,2,9,2,10,0,0,0
48,2,10,2,11,0,0,0
49,2,11,2,12,3469971000,0,1
50,2,12,2,13,0,0,0
51,2,13,2,14,0,0,0
52,2,14,2,15,0,0,0
53,2,15,2,16,0,0,0
54,2,16,2,17,0,0,0
55,2,17,2,18,0,0,0
56,2,18,2,19,0,0,0
57,3,0,3,0,0,0,0
58,3,1,3,1,2789315864,0,1
59,3,2,3,2,0,0,0
60,3,3,3,3,0,1,0
61,3,4,3,4,0,0,0
62,3,5,3,5,0,0,0
63,3,6,3,7,0,0,0
64,3,7,3,8,0,0,0
65,3,8,3,9,0,0,0
66,3,9,3,10,0,0,0
67,3,10,3,11,0,0,0
68,3,11,3,12,0,0,0
69,3,12,3,13,0,0,0
70,3,13,3,14,0,0,0
71,3,14,3,15,0,0,0
72,3,15,3,16,0,0,0
73,3,16,3,17,0,0,0
74,3,17,3,18,-2789315864,0,1
75,3,18,3,19,0,0,0
76,4,0,4,0,0,0,0
77,4,1,4,1,2357260089,0,1
78,4,2,4,2,718397382,0,1
79,4,3,4,3,0,0,0
80,4,4,4,4,0,1,0
81,4,5,4,5,0,0,0
82,4,6,4,7,0,0,0
83,4,7,4,8,0,0,0
84,4,8,4,9,0,0,0
85,4,9,4,10,0,0,0
86,4,10,4,11,0,0,0
87,4,11,4,12,0,0,0
88,4,12,4,13,100028407,0,1
89,4,13,4,14,0,0,0
90,4,14,4,15,2262694106,0,1
91,4,15,4,16,723859806,0,1
92,4,16,4,17,0,0,0
93,4,17,4,18,0,0,0
94,4,18,4,19,0,0,0
95,5,0,5,0,924978992,0,1
96,5,1,5,1,0,0,0
97,5,2,5,2,4474129646,0,1
98,5,3,5,3,0,0,0
99,5,4,5,4,0,0,0
100,5,5,5,5,0,1,0
101,5,6,5,7,0,0,0
102,5,7,5,8,0,0,0
103,5,8,5,9,0,0,0
104,5,9,5,10,0,0,0
105,5,10,5,11,0,0,0
106,5,11,5,12,-2721027375,0,1
107,5,12,5,13,0,0,0
108,5,13,5,14,894432749,0,1
109,5,14,5,15,0,0,0
110,5,15,5,16,0,0,0
111,5,16,5,17,0,0,0
112,5,17,5,18,0,0,0
113,5,18,5,19,0,0,0
114,6,0,7,0,0,0,0
115,6,1,7,1,0,0,0
116,6,2,7,2,0,0,0
117,6,3,7,3,0,0,0
118,6,4,7,4,0,0,0
119,6,5,7,5,0,0,0
120,6,6,7,7,0,1,0
121,6,7,7,8,0,0,0
122,6,8,7,9,4879688304,0,1
123,6,9,7,10,0,0,0
124,6,10,7,11,0,0,0
125,6,11,7,12,-4120517985,0,1
126,6,12,7,13,0,0,0
127,6,13,7,14,9635837211,0,1
128,6,14,7,15,3635640175,0,1
129,6,15,7,16,0,0,0
130,6,16,7,17,2136193089,0,1
131,6,17,7,18,0,0,0
132,6,18,7,19,0,0,0
133,7,0,8,0,0,0,0
134,7,1,8,1,0,0,0
135,7,2,8,2,0,0,0
136,7,3,8,3,0,0,0
137,7,4,8,4,0,0,0
138,7,5,8,5,0,0,0
139,7,6,8,7,0,0,0
140,7,7,8,8,0,1,0
141,7,8,8,9,6402989462,0,1
142,7,9,8,10,0,0,0
143,7,10,8,11,0,0,0
144,7,11,8,12,0,0,0
145,7,12,8,13,0,0,0
146,7,13,8,14,2205854598,0,1
147,7,14,8,15,0,0,0
148,7,15,8,16,0,0,0
149,7,16,8,17,1225370314,0,1
150,7,17,8,18,0,0,0
151,7,18,8,19,719635016,0,1
152,8,0,9,0,0,0,0
153,8,1,9,1,0,0,0
154,8,2,9,2,0,0,0
155,8,3,9,3,0,0,0
156,8,4,9,4,0,0,0
157,8,5,9,5,0,0,0
158,8,6,9,7,4879688304,0,1
159,8,7,9,8,6402989462,0,1
160,8,8,9,9,0,1,0
161,8,9,9,10,1527658764,0,1
162,8,10,9,11,0,0,0
163,8,11,9,12,0,0,0
164,8,12,9,13,0,0,0
165,8,13,9,14,0,0,0
166,8,14,9,15,910710462,0,1
167,8,15,9,16,0,0,0
168,8,16,9,17,0,0,0
169,8,17,9,18,0,0,0
170,8,18,9,19,1345776678,0,1
171,9,0,10,0,4894010564,0,1
172,9,1,10,1,0,0,0
173,9,2,10,2,0,0,0
174,9,3,10,3,0,0,0
175,9,4,10,4,0,0,0
176,9,5,10,5,0,0,0
177,9,6,10,7,0,0,0
178,9,7,10,8,0,0,0
179,9,8,10,9,1527658764,0,1
180,9,9,10,10,0,1,0
181,9,10,10,11,-6172553382,0,1
182,9,11,10,12,-791735858,0,1
183,9,12,10,13,0,0,0
184,9,13,10,14,0,0,0
185,9,14,10,15,0,0,0
186,9,15,10,16,0,0,0
187,9,16,10,17,0,0,0
188,9,17,10,18,0,0,0
189,9,18,10,19,0,0,0
190,10,0,11,0,7484552460,0,1
191,10,1,11,1,0,0,0
192,10,2,11,2,0,0,0
193,10,3,11,3,0,0,0
194,10,4,11,4,0,0,0
195,10,5,11,5,0,0,0
196,10,6,11,7,0,0,0
197,10,7,11,8,0,0,0
198,10,8,11,9,0,0,0
199,10,9,11,10,-6172553382,0,1
200,10,10,11,11,0,1,0
201,10,11,11,12,0,0,0
202,10,12,11,13,0,0,0
203,10,13,11,14,0,0,0
204,10,14,11,15,0,0,0
205,10,15,11,16,0,0,0
206,10,16,11,17,0,0,0
207,10,17,11,18,0,0,0
208,10,18,11,19,0,0,0
209,11,0,12,0,4234164820,0,1
210,11,1,12,1,0,0,0
211,11,2,12,2,3469971000,0,1
212,11,3,12,3,0,0,0
213,11,4,12,4,0,0,0
214,11,5,12,5,-2721027375,0,1
215,11,6,12,7,-4120517985,0,1
216,11,7,12,8,0,0,0
217,11,8,12,9,0,0,0
218,11,9,12,10,-791735858,0,1
219,11,10,12,11,0,0,0
220,11,11,12,12,0,1,0
221,11,12,12,13,0,0,0
222,11,13,12,14,0,0,0
223,11,14,12,15,0,0,0
224,11,15,12,16,0,0,0
225,11,16,12,17,0,0,0
226,11,17,12,18,0,0,0
227,11,18,12,19,0,0,0
228,12,0,13,0,0,0,0
229,12,1,13,1,4355292939,0,1
230,12,2,13,2,0,0,0
231,12,3,13,3,0,0,0
232,12,4,13,4,100028407,0,1
233,12,5,13,5,0,0,0
234,12,6,13,7,0,0,0
235,12,7,13,8,0,0,0
236,12,8,13,9,0,0,0
237,12,9,13,10,0,0,0
238,12,10,13,11,0,0,0
239,12,11,13,12,0,0,0
240,12,12,13,13,0,1,0
241,12,13,13,14,0,0,0
242,12,14,13,15,0,0,0
243,12,15,13,16,-723859806,0,1
244,12,16,13,17,0,0,0
245,12,17,13,18,-3626111880,0,1
246,12,18,13,19,0,0,0
247,13,0,14,0,0,0,0
248,13,1,14,1,0,0,0
249,13,2,14,2,0,0,0
250,13,3,14,3,0,0,0
251,13,4,14,4,0,0,0
252,13,5,14,5,894432749,0,1
253,13,6,14,7,9635837211,0,1
254,13,7,14,8,2205854598,0,1
255,13,8,14,9,0,0,0
256,13,9,14,10,0,0,0
257,13,10,14,11,0,0,0
258,13,11,14,12,0,0,0
259,13,12,14,13,0,0,0
260,13,13,14,14,0,1,0
261,13,14,14,15,-3443327095,0,1
262,13,15,14,16,0,0,0
263,13,16,14,17,-4500837667,0,1
264,13,17,14,18,0,0,0
265,13,18,14,19,-5413126740,0,1
266,14,0,15,0,0,0,0
267,14,1,15,1,0,0,0
268,14,2,15,2,0,0,0
269,14,3,15,3,0,0,0
270,14,4,15,4,2262694106,0,1
271,14,5,15,5,0,0,0
272,14,6,15,7,3635640175,0,1
273,14,7,15,8,0,0,0
274,14,8,15,9,910710462,0,1
275,14,9,15,10,0,0,0
276,14,10,15,11,0,0,0
277,14,11,15,12,0,0,0
278,14,12,15,13,0,0,0
279,14,13,15,14,-3443327095,0,1
280,14,14,15,15,0,1,0
281,14,15,15,16,0,0,0
282,14,16,15,17,0,0,0
283,14,17,15,18,-2981091488,0,1
284,14,18,15,19,0,0,0
285,15,0,16,0,0,0,0
286,15,1,16,1,0,0,0
287,15,2,16,2,0,0,0
288,15,3,16,3,0,0,0
289,15,4,16,4,723859806,0,1
290,15,5,16,5,0,0,0
291,15,6,16,7,0,0,0
292,15,7,16,8,0,0,0
293,15,8,16,9,0,0,0
294,15,9,16,10,0,0,0
295,15,10,16,11,0,0,0
