selector_id,stress_edge_id,source_atom,target_atom,source_coefficient,target_coefficient,coefficient_product,weight_scaled,signed_tension_scaled,signed_tension_contribution_scaled,weight_contribution_scaled,abs_tension_contribution_scaled
0,5,1,18,1,1,1,1102058093,-812412783,-812412783,1102058093,812412783
0,38,7,14,1,1,1,762645989,-2807949144,-2807949144,762645989,2807949144
0,52,10,11,1,-1,-1,899484360,-7465207748,7465207748,-899484360,-7465207748
0,56,11,10,-1,1,-1,1457861554,-6047383004,6047383004,-1457861554,-6047383004
0,72,14,18,1,1,1,760680080,-812412783,-812412783,760680080,812412783
0,74,14,7,1,1,1,742211987,4054536444,4054536444,742211987,4054536444
0,90,18,1,1,1,1,1081202338,812412783,812412783,1081202338,812412783
1,5,1,18,1,-1,-1,1102058093,-812412783,812412783,-1102058093,-812412783
1,38,7,14,1,-1,-1,762645989,-2807949144,2807949144,-762645989,-2807949144
1,52,10,11,1,1,1,899484360,-7465207748,-7465207748,899484360,7465207748
1,56,11,10,1,1,1,1457861554,-6047383004,-6047383004,1457861554,6047383004
1,72,14,18,-1,-1,1,760680080,-812412783,-812412783,760680080,812412783
1,74,14,7,-1,1,-1,742211987,4054536444,-4054536444,-742211987,-4054536444
1,90,18,1,-1,1,-1,1081202338,812412783,-812412783,-1081202338,-812412783
