automaton_edge_id,source_state_id,target_state_id,source_grammar_cell_id,target_grammar_cell_id,edit_kind_code,edit_position,source_symbol_id,target_symbol_id,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,new_spectral_cut_edge_flag
354,108,446,108,446,0,4,1,5,0,1,0,0,1,0,0
355,109,110,109,110,1,9,-1,5,1,0,0,0,1,0,0
356,109,112,109,112,0,8,1,2,1,0,0,0,1,0,0
357,109,118,109,118,0,8,1,4,1,0,0,0,1,0,0
358,109,122,109,122,0,7,1,2,1,0,0,0,1,0,0
359,109,134,109,134,0,7,1,4,1,0,0,0,1,0,0
360,109,174,109,174,1,4,-1,5,1,0,0,0,1,0,0
361,110,114,110,114,0,8,1,2,1,0,0,0,1,0,0
362,110,119,110,119,0,8,1,4,1,0,0,0,1,0,0
363,110,177,110,177,1,4,-1,5,1,0,0,0,1,0,0
364,111,112,111,112,1,10,-1,2,1,0,0,0,1,0,0
365,111,123,111,123,0,7,1,2,1,0,0,0,1,0,0
366,111,126,111,126,2,7,1,-1,1,0,0,0,1,0,0
367,111,136,111,136,1,6,-1,5,1,0,0,0,1,0,0
368,111,143,111,143,0,7,1,5,1,0,1,0,1,0,0
369,111,179,111,179,1,4,-1,5,1,0,0,0,1,0,0
370,111,696,111,696,0,2,3,4,0,1,0,0,1,0,0
371,112,114,112,114,1,9,-1,5,1,0,0,0,1,0,0
372,112,118,112,118,0,8,2,4,1,0,0,0,1,0,0
373,112,124,112,124,0,7,1,2,1,0,0,0,1,0,0
374,112,127,112,127,2,7,1,-1,1,0,0,0,1,0,0
375,112,145,112,145,0,7,1,5,1,0,1,0,1,0,0
376,112,181,112,181,1,4,-1,5,1,0,0,0,1,0,0
377,113,114,113,114,2,10,2,-1,1,0,0,0,1,0,0
378,114,115,114,115,1,15,-1,2,1,0,0,0,1,0,0
379,114,116,114,116,1,12,-1,5,1,0,1,0,1,0,0
380,114,119,114,119,0,8,2,4,1,0,0,0,1,0,0
381,114,125,114,125,0,7,1,2,1,0,0,0,1,0,0
382,114,130,114,130,2,7,1,-1,1,0,0,0,1,0,0
383,114,133,114,133,1,7,-1,4,1,0,0,0,1,0,0
384,114,137,114,137,1,6,-1,5,1,0,0,0,1,0,0
385,114,149,114,149,0,7,1,5,1,0,1,0,1,0,0
386,114,188,114,188,1,4,-1,5,1,0,0,0,1,0,0
387,117,120,117,120,1,7,-1,2,1,0,0,0,1,0,0
388,117,191,117,191,1,4,-1,5,1,0,0,0,1,0,0
389,117,697,117,697,0,2,3,4,0,1,0,0,1,0,0
390,118,119,118,119,1,9,-1,5,1,0,0,0,1,0,0
391,118,135,118,135,0,7,1,4,1,0,0,0,1,0,0
392,118,200,118,200,1,4,-1,5,1,0,0,0,1,0,0
393,118,698,118,698,0,2,3,4,0,1,0,0,1,0,0
394,120,121,120,121,1,11,-1,2,1,0,0,0,1,0,0
395,120,126,120,126,1,8,-1,5,1,0,0,0,1,0,0
396,120,138,120,138,1,6,-1,5,1,0,0,0,1,0,0
397,120,207,120,207,1,4,-1,5,1,0,0,0,1,0,0
398,121,139,121,139,1,6,-1,5,1,0,0,0,1,0,0
399,121,208,121,208,1,4,-1,5,1,0,0,0,1,0,0
400,122,124,122,124,0,8,1,2,1,0,0,0,1,0,0
401,122,127,122,127,2,8,1,-1,1,0,0,0,1,0,0
402,122,130,122,130,0,8,1,5,1,0,0,0,1,0,0
403,122,134,122,134,0,7,2,4,1,0,0,0,1,0,0
404,122,212,122,212,1,4,-1,5,1,0,0,0,1,0,0
405,123,124,123,124,1,10,-1,2,1,0,0,0,1,0,0
406,123,126,123,126,2,7,2,-1,1,0,0,0,1,0,0
407,123,129,123,129,1,8,-1,5,1,0,0,0,1,0,0
408,123,142,123,142,1,6,-1,5,1,0,0,0,1,0,0
409,123,143,123,143,0,7,2,5,1,0,1,0,1,0,0
410,123,214,123,214,1,4,-1,5,1,0,0,0,1,0,0
411,124,125,124,125,1,9,-1,5,1,0,0,0,1,0,0
412,124,127,124,127,2,7,2,-1,1,0,0,0,1,0,0
413,124,130,124,130,0,8,2,5,1,0,0,0,1,0,0
