observable_id,observable_code,value_x1e12,aux_id
0,0,234678000000000000,-1
1,1,68103000000000000,-1
2,2,140378000000000000,-1
3,3,26197000000000000,-1
4,4,984000000000000,-1
5,5,855000000000000,-1
6,6,2561000000000000,-1
7,7,24000000000000,-1
8,8,562000000000000,-1
9,9,846000000000000,-1
10,10,89000000000000,-1
11,11,293000000000000,-1
12,12,284000000000000,-1
13,13,9000000000000,-1
14,14,9000000000000,-1
15,15,12000000000000,-1
16,16,794000000000000,-1
17,17,532000000000000,-1
18,18,255000000000000,-1
19,19,7000000000000,-1
20,20,1000000000000,-1
21,21,2000000000000,-1
22,22,6000000000000,-1
23,23,6000000000000,-1
24,24,6000000000000,-1
25,25,6000000000000,-1
26,26,6000000000000,-1
27,27,5000000000000,-1
28,28,0,-1
29,29,2246106000,-1
30,30,9056751000,-1
31,31,4392387000,-1
32,32,5525000000000000,-1
33,33,12000000000000,-1
