reduction_edge_id,source_node_id,target_node_id,source_signature_union_count,target_signature_union_count,signature_delta
0,10,17,167,171,4
1,13,19,165,173,8
2,13,41,165,167,2
3,17,19,171,173,2
4,17,32,171,175,4
5,19,34,173,177,4
6,28,34,169,177,8
7,32,34,175,177,2
8,32,42,175,183,8
9,34,44,177,185,8
10,38,13,155,165,10
11,41,28,167,169,2
12,41,42,167,183,16
13,42,44,183,185,2
14,43,38,155,155,0
