oriented_edge_id,source_node_id,target_node_id,source_signature_union_count,target_signature_union_count,source_radius_x1e10,target_radius_x1e10,signature_delta,radius_delta_x1e10,orientation_reason_code,poincare_flow_code
0,10,17,167,171,918461452,679311016,4,-239150436,0,-1
1,10,19,167,173,918461452,575329785,6,-343131667,0,-1
2,10,32,167,175,918461452,633457817,8,-285003635,0,-1
3,10,34,167,177,918461452,436300908,10,-482160544,0,-1
4,13,19,165,173,674037802,575329785,8,-98708017,0,-1
5,13,28,165,169,674037802,534685194,4,-139352608,0,-1
6,38,13,155,165,783620677,674037802,10,-109582875,0,-1
7,13,41,165,167,674037802,512990115,2,-161047687,0,-1
8,43,13,155,165,1153403525,674037802,10,-479365723,0,-1
9,13,44,165,185,674037802,967389993,20,293352191,0,1
10,17,19,171,173,679311016,575329785,2,-103981231,0,-1
11,17,32,171,175,679311016,633457817,4,-45853199,0,-1
12,17,42,171,183,679311016,326529565,12,-352781451,0,-1
13,19,34,173,177,575329785,436300908,4,-139028877,0,-1
14,19,44,173,185,575329785,967389993,12,392060208,0,1
15,28,34,169,177,534685194,436300908,8,-98384286,0,-1
16,38,28,155,169,783620677,534685194,14,-248935483,0,-1
17,41,28,167,169,512990115,534685194,2,21695079,0,1
18,43,28,155,169,1153403525,534685194,14,-618718331,0,-1
19,28,44,169,185,534685194,967389993,16,432704799,0,1
20,32,34,175,177,633457817,436300908,2,-197156909,0,-1
21,32,42,175,183,633457817,326529565,8,-306928252,0,-1
22,34,44,177,185,436300908,967389993,8,531089085,0,1
23,38,41,155,167,783620677,512990115,12,-270630562,0,-1
24,43,38,155,155,1153403525,783620677,0,-369782848,1,-1
25,38,44,155,185,783620677,967389993,30,183769316,0,1
26,41,42,167,183,512990115,326529565,16,-186460550,0,-1
27,43,41,155,167,1153403525,512990115,12,-640413410,0,-1
28,41,44,167,185,512990115,967389993,18,454399878,0,1
29,42,44,183,185,326529565,967389993,2,640860428,0,1
30,43,44,155,185,1153403525,967389993,30,-186013532,0,-1
