component_id,node_count,edge_count,internal_weight,source0_internal_weight,source1_internal_weight,internal_degree_sum,ambient_degree,external_boundary,external_conductance_num,external_conductance_den,external_conductance_reduced_num,external_conductance_reduced_den,support_occurrence_count,mult_occurrence_count,owner_cell_count,laplacian_rank,laplacian_nullity,tree_count_digit_count,tree_count_mod_1000000007,tree_count_mod_1000000009,tree_count_sha256
0,33,61,841,502,339,1682,3024,1342,1342,3024,671,1512,3175424320,15292956672,36560,32,1,37,556263732,830461248,32b87a59b6aa2583aed6d0e62fe5f344d917faa32236a56afa52a68512933b06
1,1,0,0,0,0,0,864,864,864,864,1,1,1601231360,9154068480,96023,0,1,1,1,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
2,17,30,4788,4436,352,9576,11954,2378,2378,11954,1189,5977,11484523584,63708069888,616656,16,1,29,51265254,419224984,a057282ee10c1d8d76fa567151c870672c4b1a141f91cd6ddf0bf36367dc873f
