basis_id,law_id,square_code,law_code,source_id,target_id,subtarget_id,derivation_code,dependency_count,equal_flag,left_num_digits,left_den_digits,right_num_digits,right_den_digits
0,0,0,0,1,0,-1,0,0,1,3,4,3,4
1,1,0,0,1,1,-1,0,0,1,2,3,2,3
2,3,0,0,2,0,-1,0,0,1,258,259,258,259
3,4,0,0,2,1,-1,0,0,1,255,257,255,257
4,5,0,0,2,2,-1,0,0,1,258,259,258,259
5,6,0,0,2,3,-1,0,0,1,256,257,256,257
6,8,0,0,3,0,-1,0,0,1,516,517,516,517
7,9,0,0,3,1,-1,0,0,1,514,515,514,515
8,10,0,0,3,2,-1,0,0,1,519,521,519,521
9,11,0,0,3,3,-1,0,0,1,518,519,518,519
10,12,0,0,3,4,-1,0,0,1,520,521,520,521
11,13,0,0,3,5,-1,0,0,1,516,517,516,517
12,15,0,0,4,0,-1,0,0,1,774,775,774,775
13,16,0,0,4,1,-1,0,0,1,772,774,772,774
14,17,0,0,4,2,-1,0,0,1,778,779,778,779
15,18,0,0,4,3,-1,0,0,1,776,778,776,778
16,19,0,0,4,4,-1,0,0,1,781,781,781,781
17,20,0,0,4,5,-1,0,0,1,778,779,778,779
18,21,0,0,4,6,-1,0,0,1,779,779,779,779
19,22,0,0,4,7,-1,0,0,1,774,775,774,775
20,24,0,0,5,0,-1,0,0,1,1032,1033,1032,1033
21,25,0,0,5,1,-1,0,0,1,1028,1030,1028,1030
22,26,0,0,5,2,-1,0,0,1,1036,1037,1036,1037
23,27,0,0,5,3,-1,0,0,1,1036,1037,1036,1037
24,28,0,0,5,4,-1,0,0,1,1040,1041,1040,1041
25,29,0,0,5,5,-1,0,0,1,1037,1038,1037,1038
26,30,0,0,5,6,-1,0,0,1,1040,1041,1040,1041
27,31,0,0,5,7,-1,0,0,1,1038,1039,1038,1039
28,32,0,0,5,8,-1,0,0,1,1037,1038,1037,1038
29,33,0,0,5,9,-1,0,0,1,1032,1033,1032,1033
30,35,0,0,6,0,-1,0,0,1,1290,1291,1290,1291
31,36,0,0,6,1,-1,0,0,1,1288,1290,1288,1290
32,37,0,0,6,2,-1,0,0,1,1293,1295,1293,1295
33,38,0,0,6,3,-1,0,0,1,1293,1294,1293,1294
34,39,0,0,6,4,-1,0,0,1,1298,1299,1298,1299
35,40,0,0,6,5,-1,0,0,1,1295,1297,1295,1297
36,41,0,0,6,6,-1,0,0,1,1297,1298,1297,1298
37,42,0,0,6,7,-1,0,0,1,1297,1298,1297,1298
38,43,0,0,6,8,-1,0,0,1,1299,1300,1299,1300
39,44,0,0,6,9,-1,0,0,1,1296,1297,1296,1297
40,45,0,0,6,10,-1,0,0,1,1294,1295,1294,1295
41,46,0,0,6,11,-1,0,0,1,1289,1290,1289,1290
42,48,0,0,7,0,-1,0,0,1,1548,1549,1548,1549
43,49,0,0,7,1,-1,0,0,1,1545,1547,1545,1547
44,50,0,0,7,2,-1,0,0,1,1552,1553,1552,1553
45,51,0,0,7,3,-1,0,0,1,1551,1553,1551,1553
46,52,0,0,7,4,-1,0,0,1,1557,1558,1557,1558
47,53,0,0,7,5,-1,0,0,1,1554,1556,1554,1556
48,54,0,0,7,6,-1,0,0,1,1558,1560,1558,1560
49,55,0,0,7,7,-1,0,0,1,1555,1557,1555,1557
50,56,0,0,7,8,-1,0,0,1,1559,1560,1559,1560
51,57,0,0,7,9,-1,0,0,1,1556,1558,1556,1558
52,58,0,0,7,10,-1,0,0,1,1558,1559,1558,1559
53,59,0,0,7,11,-1,0,0,1,1554,1555,1554,1555
54,60,0,0,7,12,-1,0,0,1,1553,1554,1553,1554
55,61,0,0,7,13,-1,0,0,1,1549,1550,1549,1550
56,63,0,0,8,0,-1,0,0,1,1806,1807,1806,1807
57,64,0,0,8,1,-1,0,0,1,1803,1805,1803,1805
58,65,0,0,8,2,-1,0,0,1,1809,1810,1809,1810
59,66,0,0,8,3,-1,0,0,1,1809,1811,1809,1811
60,67,0,0,8,4,-1,0,0,1,1814,1815,1814,1815
61,68,0,0,8,5,-1,0,0,1,1812,1814,1812,1814
62,69,0,0,8,6,-1,0,0,1,1817,1818,1817,1818
63,70,0,0,8,7,-1,0,0,1,1814,1815,1814,1815
64,71,0,0,8,8,-1,0,0,1,1818,1819,1818,1819
65,72,0,0,8,9,-1,0,0,1,1815,1816,1815,1816
66,73,0,0,8,10,-1,0,0,1,1819,1820,1819,1820
67,74,0,0,8,11,-1,0,0,1,1814,1815,1814,1815
68,75,0,0,8,12,-1,0,0,1,1816,1817,1816,1817
69,76,0,0,8,13,-1,0,0,1,1811,1813,1811,1813
70,77,0,0,8,14,-1,0,0,1,1811,1812,1811,1812
71,78,0,0,8,15,-1,0,0,1,1806,1807,1806,1807
72,80,1,1,1,0,-1,0,0,1,3,4,3,4
73,81,1,1,1,1,-1,0,0,1,2,3,2,3
