square_id,square_code,square_name,total_law_count,basis_count,forced_count,equal_count,violation_count,minimal_basis_count,closure_rule_code
0,0,prof_conv_overlap,80,72,8,80,0,72,1
1,1,stationary_seed,3,2,1,3,0,2,2
2,2,mean_readout,16,0,16,16,0,0,3
3,3,moment_readout,48,0,48,48,0,0,4
4,4,tail_windows,144,0,144,144,0,0,5
5,5,variance_shrink,15,0,15,15,0,0,8
