force_id,law_id,square_code,law_code,source_id,target_id,subtarget_id,derivation_code,dependency_count,equal_flag,left_num_digits,left_den_digits,right_num_digits,right_den_digits
0,2,0,0,1,2,-1,1,2,1,4,4,4,4
1,7,0,0,2,4,-1,1,4,1,259,259,259,259
2,14,0,0,3,6,-1,1,6,1,517,517,517,517
3,23,0,0,4,8,-1,1,8,1,775,775,775,775
4,34,0,0,5,10,-1,1,10,1,1033,1034,1033,1034
5,47,0,0,6,12,-1,1,12,1,1291,1292,1291,1292
6,62,0,0,7,14,-1,1,14,1,1549,1550,1549,1550
7,79,0,0,8,16,-1,1,16,1,1807,1808,1807,1808
8,82,1,1,1,2,-1,2,2,1,4,4,4,4
9,83,2,2,1,0,-1,3,3,1,4,4,4,4
10,84,2,2,2,0,-1,3,5,1,4,4,4,4
11,85,2,2,3,0,-1,3,7,1,4,4,4,4
12,86,2,2,4,0,-1,3,9,1,4,4,4,4
13,87,2,2,5,0,-1,3,11,1,4,4,4,4
14,88,2,2,6,0,-1,3,13,1,4,4,4,4
15,89,2,2,7,0,-1,3,15,1,4,4,4,4
16,90,2,2,8,0,-1,3,17,1,4,4,4,4
17,91,2,2,9,0,-1,3,19,1,4,4,4,4
18,92,2,2,10,0,-1,3,21,1,4,4,4,4
19,93,2,2,11,0,-1,3,23,1,4,4,4,4
20,94,2,2,12,0,-1,3,25,1,4,4,4,4
21,95,2,2,13,0,-1,3,27,1,4,4,4,4
22,96,2,2,14,0,-1,3,29,1,4,4,4,4
23,97,2,2,15,0,-1,3,31,1,4,4,4,4
24,98,2,2,16,0,-1,3,33,1,4,4,4,4
25,99,3,3,1,2,-1,4,3,1,6,7,6,7
26,100,3,3,1,3,-1,4,3,1,9,9,9,9
27,101,3,3,1,4,-1,4,3,1,12,12,12,12
28,102,3,3,2,2,-1,4,5,1,261,261,261,261
29,103,3,3,2,3,-1,4,5,1,263,264,263,264
30,104,3,3,2,4,-1,4,5,1,265,265,265,265
31,105,3,3,3,2,-1,4,7,1,522,522,522,522
32,106,3,3,3,3,-1,4,7,1,524,524,524,524
33,107,3,3,3,4,-1,4,7,1,528,528,528,528
34,108,3,3,4,2,-1,4,9,1,784,784,784,784
35,109,3,3,4,3,-1,4,9,1,781,782,781,782
36,110,3,3,4,4,-1,4,9,1,790,791,790,791
37,111,3,3,5,2,-1,4,11,1,1047,1047,1047,1047
38,112,3,3,5,3,-1,4,11,1,1048,1049,1048,1049
39,113,3,3,5,4,-1,4,11,1,1053,1053,1053,1053
40,114,3,3,6,2,-1,4,13,1,1309,1309,1309,1309
41,115,3,3,6,3,-1,4,13,1,1310,1311,1310,1311
42,116,3,3,6,4,-1,4,13,1,1316,1316,1316,1316
43,117,3,3,7,2,-1,4,15,1,1571,1572,1571,1572
44,118,3,3,7,3,-1,4,15,1,1573,1574,1573,1574
45,119,3,3,7,4,-1,4,15,1,1578,1579,1578,1579
46,120,3,3,8,2,-1,4,17,1,1834,1834,1834,1834
