nonclaim_id,nonclaim_code,claim_flag,open_flag,preserved_flag,required_for_current_mandate_flag,broad_required_flag,overclaim_flag
0,0,0,1,1,0,0,0
1,1,0,1,1,0,0,0
2,2,0,1,1,0,0,0
3,3,0,1,1,0,0,0
4,4,0,1,1,0,0,0
5,5,0,1,1,0,1,0
6,6,0,1,1,0,0,0
7,7,0,1,1,0,0,0
