x4_first_edge_id,cell_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,x4_target_carrier_mask_class_id,edge_partition_code,is_positive_negative_boundary,shared_atom_bitset,shared_symbol_bitset,shared_symbol_count,pure_x4_flag,mixed_x3_x4_flag,direct_boundary_completion_flag,one_step_boundary_return_count
0,21,5,8,5,2,0,4096,16,1,1,0,0,0
1,24,6,8,6,2,0,6144,24,2,0,1,0,1
2,27,7,8,7,2,0,6144,24,2,0,1,0,4
3,33,8,13,13,2,0,4096,16,1,1,0,0,3
