intervention_id,intervention_size,block_code_0,block_code_1,block_code_2,block_code_3,block_code_4,block_code_5,block_code_6,block_code_7,block_code_8,candidate_touch_count,cut_edge_touch_count,full_face_count,max_face_edge_touch_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag,all_nine_flag
0,4,1451,4512,4552,5125,-1,-1,-1,-1,-1,21,6,4,3,881,21,2622,51,7,6,0,7,1,2530061000,5032351000,-703347000,0,0,0
1,4,1451,4512,4552,1255,-1,-1,-1,-1,-1,19,6,4,3,902,42,2713,142,7,6,0,7,1,2511471000,4467135000,-138131000,0,0,0
2,4,1451,4512,4552,5255,-1,-1,-1,-1,-1,19,6,4,3,896,36,2698,127,6,6,0,6,0,2450547000,3816794000,512210000,0,0,0
3,4,1451,4512,4552,1252,-1,-1,-1,-1,-1,18,6,4,3,882,22,2627,56,6,6,0,6,0,2509977000,4231312000,97692000,0,0,0
4,4,1451,4512,4552,2145,-1,-1,-1,-1,-1,18,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0,0
5,4,1451,4512,4552,5252,-1,-1,-1,-1,-1,18,6,4,3,882,22,2629,58,6,6,0,6,0,2533812000,4201681000,127323000,0,0,0
6,4,1451,4512,5125,1255,-1,-1,-1,-1,-1,19,6,4,3,904,44,2718,147,7,6,0,7,1,2516792000,4467135000,-138131000,0,0,0
7,4,1451,4512,5125,5255,-1,-1,-1,-1,-1,19,6,4,3,904,44,2715,144,11,6,0,11,5,2589734000,6922593000,-2593589000,0,0,0
8,4,1451,4512,5125,1252,-1,-1,-1,-1,-1,18,6,4,3,889,29,2642,71,7,6,0,7,1,2633623000,4919185000,-590181000,0,0,0
9,4,1451,4512,5125,2145,-1,-1,-1,-1,-1,18,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
10,4,1451,4512,5125,5252,-1,-1,-1,-1,-1,18,6,4,3,890,30,2646,75,7,6,0,7,1,2653299000,4857738000,-528734000,0,0,0
11,4,1451,4512,1255,5255,-1,-1,-1,-1,-1,17,6,4,3,925,65,2810,239,8,6,0,8,2,2644626000,4530011000,-201007000,0,0,0
12,4,1451,4512,1255,1252,-1,-1,-1,-1,-1,16,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0,0
13,4,1451,4512,1255,2145,-1,-1,-1,-1,-1,16,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
