intervention_size,intervention_count,support_changing_count,best_intervention_id,best_cut_conductance_x1e12,best_lambda_2_x1e12,best_state_count,best_edge_count,best_cut_edge_count,best_old_cut_edge_still_cut_count,best_promoted_only_cut_edge_count
4,126,0,108,3649635000,2443681000,900,2711,6,6,0
5,126,0,213,3649635000,2433665000,908,2734,6,6,0
6,84,0,269,3649635000,2431955000,910,2740,6,6,0
7,36,0,340,4224502000,2520675000,918,2767,7,6,1
8,9,0,373,4333694000,2641215000,938,2862,8,6,2
9,1,0,381,4934948000,2568466000,975,3068,11,6,5
