carrier_mask_class_id,carrier_atom_mask,nodal_sign,signature_class_count,positive_signature_count,negative_signature_count,stationary_mass_x1e12,positive_stationary_mass_x1e12,negative_stationary_mass_x1e12,mode_mean_x1e12,mask_graph_degree,cut_boundary_mask_edge_count,carrier_atom_id_0,carrier_atom_id_1,carrier_atom_id_2,carrier_atom_id_3
0,2,1,10,10,0,4253400200,4253400200,0,875968500980,3,1,1,-1,-1,-1
1,16,1,14,14,0,6165581828,6165581828,0,1062963295150,3,1,4,-1,-1,-1
2,128,1,22,22,0,30653459342,30653459342,0,1257836559845,4,0,7,-1,-1,-1
3,146,1,29,29,0,183473722669,183473722669,0,1076857070829,8,2,1,4,7,-1
4,2048,-1,12,0,12,4001494860,0,4001494860,-1156260779930,4,1,11,-1,-1,-1
5,4096,-1,14,0,14,32609072370,0,32609072370,-2348940614479,4,0,12,-1,-1,-1
6,6144,-1,6,0,6,28516604784,0,28516604784,-1842927151914,6,1,11,12,-1,-1
7,6146,-1,10,0,10,84796045230,0,84796045230,-894848865438,9,4,1,11,12,-1
8,6160,-1,7,0,7,59073806638,0,59073806638,-860433468893,9,4,4,11,12,-1
9,524288,-1,30,0,30,25709462040,0,25709462040,-293244641042,4,3,19,-1,-1,-1
10,524416,1,8,8,0,35814639910,35814639910,0,484039536207,6,2,7,19,-1,-1
11,524434,1,20,20,0,235667754700,235667754700,0,687273682618,10,4,1,4,7,19
12,526464,1,18,18,0,130078549560,130078549560,0,106312269429,10,6,7,11,19,-1
13,528384,-1,21,0,21,139186405869,0,139186405869,-1232297671650,8,3,12,19,-1,-1
