atom_id,stationary_participation_mass_x1e12,positive_side_mass_x1e12,negative_side_mass_x1e12,positive_fraction_x1e12,mode_mean_x1e12,carrier_signature_count
1,152593594841,124328246432,28265348410,814767137249,555613204673,69
4,145931696939,126240428059,19691268879,865065168895,657575763194,70
7,211995142048,211995142048,0,1000000000000,746172418702,97
11,109575931061,43359516520,66216414541,395702925816,-625414510873,53
12,164417194986,0,164417194986,0,-1404169258648,58
19,215486440125,120183775150,95302664975,557732426600,-183441440785,97
