cut_edge_id,transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_nodal_sign,target_nodal_sign,source_eigenfunction_x1e12,target_eigenfunction_x1e12,undirected_stationary_flux_x1e12,source_carrier_atom_mask,target_carrier_atom_mask
74,585,4,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
75,586,4,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
76,587,4,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
77,588,4,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
78,594,4,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
79,595,4,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
80,596,4,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
81,597,4,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
82,598,4,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
83,599,4,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
84,600,4,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
85,711,5,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
86,712,5,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
87,713,5,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
88,714,5,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
89,715,5,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
90,716,5,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
91,717,5,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
92,718,5,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
93,719,5,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
94,720,5,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
95,726,5,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
96,727,5,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
97,728,5,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
98,729,5,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
99,730,5,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
100,731,5,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
101,732,5,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
102,842,6,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
103,843,6,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
104,844,6,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
105,845,6,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
106,846,6,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
107,847,6,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
108,848,6,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
109,849,6,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
110,850,6,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
111,851,6,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
