basin_code,total_participation_mass_x1e12,positive_side_mass_x1e12,negative_side_mass_x1e12,positive_fraction_x1e12,positive_side_composition_x1e12,negative_side_composition_x1e12
10,200037326277,137019671513,63017654765,684970520566,218843820356,168544671878
43,406767255209,253849052271,152918202937,624064619314,405440297583,408989329016
0,393195418514,235238384425,157957034089,598273462377,375715882061,422465999106
