source_builder,assigned_builder,cost_L2
BASIN_SWITCHER,FACE12_ANCHOR,1.4142135623730951
BLUFF_REVEAL,BLUFF_REVEAL,1.2423079436935014
CURVATURE_ZERO,CURVATURE_ZERO,1.14965423693472
DIVERGENCE_MIN,FACE15_ANCHOR,1.4142135623730951
EMERGENCE_SEEKER,H954_CORRIDOR,1.4142135623730951
FACE12_ANCHOR,BASIN_SWITCHER,1.4142135623730951
FACE15_ANCHOR,DIVERGENCE_MIN,1.4142135623730951
FACE17_ANCHOR,FACE17_ANCHOR,1.4142135623730951
H2047_PURIST,H2047_PURIST,1.2726104484545242
H954_CORRIDOR,EMERGENCE_SEEKER,1.4142135623730951
MONODROME_PURIST,MONODROME_PURIST,1.2435790557361714
Q4_BALANCER,Q4_BALANCER,1.364721548443182
ROBUST_REVEAL,ROBUST_REVEAL,1.2206585061289947
SIGMA_MIN,SIGMA_MIN,1.2218643782062655
SPREAD_CONTROL,SPREAD_CONTROL,1.320627228935139
STOCHASTIC_CONTROL,STOCHASTIC_CONTROL,1.4142135623730951
