member_id,class_id,word_id,word_length,first_generator_id,second_generator_id,product_residual_nonzero_count,product_preserved_flag
0,0,0,0,-1,-1,0,1
1,0,10,2,0,0,0,1
2,0,20,2,1,1,0,1
3,0,30,2,2,2,0,1
4,0,40,2,3,3,0,1
5,0,50,2,4,4,0,1
6,0,60,2,5,5,0,1
7,0,70,2,6,6,0,1
8,0,80,2,7,7,0,1
9,0,90,2,8,8,0,1
10,1,1,1,0,-1,131728,0
11,2,2,1,1,-1,133589,0
12,3,3,1,2,-1,118961,0
13,4,4,1,3,-1,134753,0
14,5,5,1,4,-1,85749,0
15,6,6,1,5,-1,84820,0
16,7,7,1,6,-1,83676,0
17,8,8,1,7,-1,102819,0
18,9,9,1,8,-1,82435,0
19,10,11,2,0,1,134207,0
20,10,19,2,1,0,134207,0
21,11,12,2,0,2,117693,0
22,11,28,2,2,0,117693,0
23,12,13,2,0,3,140315,0
24,12,39,2,3,2,140315,0
25,13,14,2,0,4,130707,0
26,13,46,2,4,0,130707,0
27,14,15,2,0,5,130800,0
28,14,64,2,6,0,130800,0
29,15,16,2,0,6,131235,0
30,15,55,2,5,0,131235,0
31,16,17,2,0,7,127102,0
32,16,82,2,8,0,127102,0
33,17,18,2,0,8,127083,0
34,17,73,2,7,0,127083,0
35,18,21,2,1,2,132590,0
36,19,22,2,1,3,142733,0
37,20,23,2,1,4,131370,0
38,20,47,2,4,1,131370,0
39,21,24,2,1,5,128897,0
40,21,74,2,7,1,128897,0
41,22,25,2,1,6,132244,0
42,22,83,2,8,1,132244,0
43,23,26,2,1,7,131799,0
44,23,56,2,5,1,131799,0
45,24,27,2,1,8,132252,0
46,24,65,2,6,1,132252,0
47,25,29,2,2,1,131747,0
48,26,31,2,2,3,141740,0
49,26,37,2,3,0,141740,0
50,27,32,2,2,4,131113,0
51,27,48,2,4,2,131113,0
52,28,33,2,2,5,122597,0
53,29,34,2,2,6,117470,0
54,30,35,2,2,7,113483,0
55,31,36,2,2,8,117846,0
56,32,38,2,3,1,142021,0
57,33,41,2,3,4,135882,0
58,34,42,2,3,5,135828,0
59,34,58,2,5,3,135828,0
60,35,43,2,3,6,137383,0
61,36,44,2,3,7,141268,0
62,37,45,2,3,8,141602,0
63,38,49,2,4,3,135438,0
64,39,51,2,4,5,68040,0
65,39,59,2,5,4,68040,0
66,40,52,2,4,6,93349,0
67,40,68,2,6,4,93349,0
68,41,53,2,4,7,92310,0
69,41,77,2,7,4,92310,0
70,42,54,2,4,8,96042,0
71,42,86,2,8,4,96042,0
72,43,57,2,5,2,126900,0
73,44,61,2,5,6,98780,0
74,44,69,2,6,5,98780,0
75,45,62,2,5,7,96119,0
76,45,78,2,7,5,96119,0
77,46,63,2,5,8,86656,0
78,46,87,2,8,5,86656,0
79,47,66,2,6,2,114133,0
80,48,67,2,6,3,137738,0
81,49,71,2,6,7,103158,0
82,49,79,2,7,6,103158,0
83,50,72,2,6,8,102178,0
84,50,88,2,8,6,102178,0
85,51,75,2,7,2,122108,0
86,52,76,2,7,3,141465,0
87,53,81,2,7,8,94463,0
88,53,89,2,8,7,94463,0
89,54,84,2,8,2,117470,0
90,55,85,2,8,3,141210,0
