rule_id,worst_s_kind,worst_s_const,target_min_offset,margin_num_a,margin_num_b,margin_den_degree,margin_num_at_start,strict_positive_at_start_flag,nonnegative_for_n_ge_start_flag,equality_rule_flag
0,0,0,0,0,0,2,0,0,1,1
1,0,1,1,1,-1,2,15,1,1,0
2,0,2,2,2,-2,2,30,1,1,0
3,0,3,2,2,-3,2,29,1,1,0
4,1,-2,3,2,2,2,34,1,1,0
5,1,-1,3,2,1,2,33,1,1,0
6,2,-1,2,0,1,2,1,1,1,0
7,2,0,2,0,0,2,0,0,1,1
