rule_id,region_code,s_min_kind,s_min_const,s_max_kind,s_max_const,target_min_offset,target_max_offset,target_count_min,target_count_max,domain_min_n,domain_nonempty_at_start_flag
0,0,0,0,0,0,0,2,3,3,16,1
1,1,0,1,0,1,1,3,3,3,16,1
2,2,0,2,0,2,2,3,2,2,16,1
3,3,0,3,0,3,2,4,3,3,16,1
4,4,0,4,1,-2,3,4,2,2,16,1
5,5,1,-1,1,-1,3,3,1,1,16,1
6,6,1,0,2,-1,2,3,2,2,16,1
7,7,2,0,2,0,2,2,1,1,16,1
