seed_atom_id,rank,entering_atom_id,poincare_threshold,new_signature_class_count,cumulative_signature_class_count,cumulative_tensor_path_coefficient_mass,cumulative_internal_signature_count,full_coverage
4,5,12,0.6063973373,35,191,179200,347,0
4,6,8,0.7012144781,20,211,302080,437,0
4,7,19,0.7039114306,22,233,467456,534,1
4,8,9,0.7092840679,0,233,580096,644,1
4,9,15,0.7237899104,0,233,635904,733,1
4,10,18,0.7258854465,0,233,681344,809,1
4,11,2,0.7348608214,0,233,714368,890,1
4,12,5,0.7730249132,0,233,737344,960,1
4,13,14,0.790121238,0,233,803392,1031,1
4,14,17,0.803453673,0,233,878656,1101,1
4,15,13,0.9131642356,0,233,917056,1171,1
4,16,16,0.94293949,0,233,958016,1234,1
4,17,3,1.0965150908,0,233,1004096,1306,1
4,18,6,1.2261864034,0,233,1040960,1373,1
4,19,10,2.3803030662,0,233,1057472,1428,1
4,20,0,2.9035066442,0,233,1067072,1478,1
5,1,5,0.0,70,70,22976,70,0
5,2,2,0.0957500715,26,96,56000,151,0
5,3,9,0.2258188302,55,151,168640,261,0
5,4,15,0.2550026546,8,159,224448,350,0
5,5,12,0.257541464,12,171,244032,408,0
5,6,18,0.2583908597,0,171,289472,484,0
5,7,19,0.2880708665,36,207,454848,581,0
5,8,8,0.3063166078,14,221,577728,671,0
5,9,7,0.314357761,0,221,661440,768,0
5,10,3,0.4132440874,0,221,707520,840,0
5,11,6,0.4919322608,0,221,744384,907,0
5,12,11,0.6208377226,0,221,755008,960,0
5,13,14,0.7697737358,4,225,821056,1031,0
5,14,4,0.7730249132,8,233,854080,1101,1
5,15,1,0.7818694073,0,233,886336,1170,1
5,16,17,0.8385044459,0,233,961600,1240,1
5,17,13,1.0913075648,0,233,1000000,1310,1
5,18,16,1.1105123588,0,233,1040960,1373,1
5,19,0,3.1202216863,0,233,1050560,1423,1
5,20,10,3.1277441481,0,233,1067072,1478,1
6,1,6,0.0,67,67,36864,67,0
6,2,3,0.1690002393,24,91,82944,139,0
6,3,5,0.4919322608,42,133,105920,209,0
6,4,2,0.4961801363,10,143,138944,290,0
6,5,12,0.6269429496,6,149,158528,348,0
6,6,9,0.6930880981,22,171,271168,458,0
6,7,15,0.7138581257,0,171,326976,547,0
6,8,18,0.7161532606,0,171,372416,623,0
6,9,19,0.7518335404,36,207,537792,720,0
6,10,8,0.7699267797,14,221,660672,810,0
6,11,7,0.8047124714,0,221,744384,907,0
6,12,11,1.079259781,0,221,755008,960,0
6,13,1,1.2186170387,4,225,787264,1029,0
6,14,4,1.2261864034,8,233,820288,1099,1
6,15,14,1.2339996164,0,233,886336,1170,1
6,16,17,1.3067596499,0,233,961600,1240,1
6,17,13,1.5678045627,0,233,1000000,1310,1
6,18,16,1.585224997,0,233,1040960,1373,1
6,19,0,3.2826763093,0,233,1050560,1423,1
6,20,10,3.5981191932,0,233,1067072,1478,1
7,1,7,0.0,97,97,83712,97,0
7,2,8,0.1350235516,41,138,206592,187,0
7,3,19,0.13574747,22,160,371968,284,0
7,4,9,0.1483567889,0,160,484608,394,0
7,5,15,0.1567454416,28,188,540416,483,0
7,6,18,0.1584718777,15,203,585856,559,0
7,7,5,0.314357761,6,209,608832,629,0
7,8,2,0.3460706375,6,215,641856,710,0
7,9,12,0.3696804531,6,221,661440,768,0
7,10,11,0.42219248,0,221,672064,821,0
7,11,14,0.4843469708,4,225,738112,892,0
7,12,17,0.5457057316,8,233,813376,962,1
7,13,4,0.568418552,0,233,846400,1032,1
7,14,1,0.6067723415,0,233,878656,1101,1
7,15,3,0.7244828396,0,233,924736,1173,1
7,16,13,0.7862008603,0,233,963136,1243,1
7,17,6,0.8047124714,0,233,1000000,1310,1
7,18,16,0.8070978955,0,233,1040960,1373,1
7,19,10,2.8662390218,0,233,1057472,1428,1
7,20,0,3.1777357263,0,233,1067072,1478,1
8,1,8,0.0,90,90,122880,90,0
8,2,19,0.0184330603,48,138,288256,187,0
8,3,18,0.054144051,15,153,333696,263,0
8,4,15,0.0561458637,28,181,389504,352,0
8,5,9,0.0805885309,22,203,502144,462,0
8,6,7,0.1350235516,0,203,585856,559,0
