shell_weight,starts,all_converged_to_equal,best_ratio,best_label,max_cv_x,max_kkt_residual,max_iterations
12,296,False,1.0000000000000027,prefix23_amp3.0,1.0000000000000002,1.0781971193384296e-11,65
16,296,False,1.000000000000004,prefix1_amp0.25,0.7071067811865476,1.311580210056926e-11,60
