iterations,final_delta,ratio,cv_x,kkt_residual,converged_to_equal,shell_weight,start_index,start_label
1,0.0,1.0,0.0,0.0,True,12,0,equal
46,6.104594718484868e-12,0.9999999999999988,1.819824322748545e-12,6.590254377731282e-12,True,12,1,prefix1_amp0.25
48,6.023473494217442e-12,0.9999999999999991,1.7957407727307655e-12,6.500256246015648e-12,True,12,2,prefix1_amp0.75
49,6.513622691106177e-12,0.9999999999999993,1.9412109209209096e-12,7.0240573306250826e-12,True,12,3,prefix1_amp1.5
50,6.64865610389978e-12,0.9999999999999982,1.982019199130124e-12,7.174430902323068e-12,True,12,4,prefix1_amp3.0
51,6.486134827409798e-12,0.9999999999999982,1.9337319987719054e-12,6.999187518502522e-12,True,12,5,prefix1_amp6.0
46,8.471731396840338e-12,1.0000000000000022,2.52438503982811e-12,9.135166760210422e-12,True,12,6,prefix2_amp0.25
48,8.406012126617527e-12,0.9999999999999984,2.506637748026217e-12,9.078301674868921e-12,True,12,7,prefix2_amp0.75
49,9.148507839183324e-12,0.9999999999999988,2.727264009459082e-12,9.872778385644132e-12,True,12,8,prefix2_amp1.5
50,9.398956442430006e-12,0.9999999999999988,2.8019119603548117e-12,1.0145001742423654e-11,True,12,9,prefix2_amp3.0
51,9.201272132088892e-12,1.0000000000000002,2.7415547896954477e-12,9.926958512526672e-12,True,12,10,prefix2_amp6.0
47,6.033784400981975e-12,0.9999999999999989,1.7978145442983236e-12,6.513619919859875e-12,True,12,11,prefix3_amp0.25
49,6.024473644034409e-12,0.9999999999999968,1.7959262491142021e-12,6.508424999718828e-12,True,12,12,prefix3_amp0.75
50,6.601176406883711e-12,0.9999999999999979,1.9684165570587347e-12,7.12600483920696e-12,True,12,13,prefix3_amp1.5
51,6.833695424608159e-12,1.0000000000000007,2.0361930397301995e-12,7.368992600233775e-12,True,12,14,prefix3_amp3.0
52,6.717349473410082e-12,1.0000000000000002,2.0013238911154542e-12,7.2474005161869305e-12,True,12,15,prefix3_amp6.0
47,6.8245502293427654e-12,0.9999999999999991,2.0328789630484748e-12,7.360111640234513e-12,True,12,16,prefix4_amp0.25
49,6.851915223337775e-12,0.9999999999999991,2.0426187756022373e-12,7.3896190346179e-12,True,12,17,prefix4_amp0.75
50,7.566800188566563e-12,0.9999999999999973,2.2554342654480437e-12,8.170192186540287e-12,True,12,18,prefix4_amp1.5
51,7.896407341870694e-12,1.0000000000000004,2.3536246915752185e-12,8.521296125777685e-12,True,12,19,prefix4_amp3.0
52,7.797805197582333e-12,1.0,2.323078945606114e-12,8.414397190791948e-12,True,12,20,prefix4_amp6.0
47,7.977757771136645e-12,0.9999999999999979,2.3766297689855686e-12,8.60483422936615e-12,True,12,21,prefix6_amp0.25
49,8.112566190882406e-12,0.9999999999999982,2.4174218491525457e-12,8.755154531843966e-12,True,12,22,prefix6_amp0.75
50,9.094386276791317e-12,1.000000000000001,2.70870999101428e-12,9.812397467326935e-12,True,12,23,prefix6_amp1.5
51,9.773144943146796e-12,0.9999999999999986,2.912102058332588e-12,1.05441512064314e-11,True,12,24,prefix6_amp3.0
53,6.498494325318388e-12,0.9999999999999991,1.936488591160558e-12,7.012852065783006e-12,True,12,25,prefix6_amp6.0
47,8.745700011313515e-12,1.0000000000000013,2.603501392837787e-12,9.424424296953694e-12,True,12,26,prefix8_amp0.25
49,8.961679189334314e-12,0.9999999999999986,2.67050485800168e-12,9.674289566532072e-12,True,12,27,prefix8_amp0.75
50,9.923801538328432e-12,1.0000000000000022,2.9576649449317446e-12,1.0701808796671373e-11,True,12,28,prefix8_amp1.5
52,6.020525643046824e-12,0.9999999999999982,1.7938895459025498e-12,6.4911450964642806e-12,True,12,29,prefix8_amp3.0
