mask,basis_cycle_ids,height_action,transport_scalar_mod_1000003,lambda_support,corrected_support,corrected_coefficient_sum_signed,corrected_abs_sum_signed_lift,corrected_vector_sha256_dense_i8
0,,0,0,0,0,0,0,ad5345954a23d42bbacd56d55a6e79c848369307b95fa96ac5cefcbc3c271de9
1,0,1075200,462403,297,297,192736,667200,b407d1c3aea6015bc9a571f6fbc628cc3b867cf6a37493325438917284a2ad84
2,1,1320960,339523,297,297,227136,821408,e49725acfab5cf9f6c80b2976e42fa5f9dba6bd0c115cc5efcaed88944e81535
3,0 1,2396160,801926,297,297,419872,1488608,e0b72f09094a3d81c6a1108f0226c2d424ed59c369c2a4ad072839ff9bce19f6
4,2,774144,612931,253,253,101952,463680,6acddbd59bf7e87c9652dca9b5b872faf272e326bfba986606538d4d657d99a2
5,0 2,1849344,75331,297,297,294688,1130880,5ba9a9f9e42ddf67ff2c109e9b3353c555c3b8d94ebfdfee161b7cf935a00499
6,1 2,2095104,952454,297,297,329088,1285088,284a49a0e57b3619d90375cda6a92f7d3a266ce3dca0397d2bcb3546782038d5
7,0 1 2,3170304,414854,297,297,521824,1952288,2ae588fa715d2351ee3797fa2ce5b2184838032b1ae54a50edaaee2139b39fb2
8,3,1191936,404035,297,297,251424,773472,bf459b8eef779d78c419772d356809ed964af35bb1ca4241b94a812f00ba60b6
9,0 3,2267136,866438,297,297,444160,1440672,349fed590a57c38712967e581f037254be7c4c40a9e403adc5d9a2d48ff8433f
10,1 3,2512896,743558,297,297,478560,1594880,bf7418a2f1e10223d53565fab89e8419dd5dffa533dd83a7294166ef6e2c5408
11,0 1 3,3588096,205958,297,297,671296,2262080,99d2021bdfcb0cb66bde21f0dadde4deaa6e741ee5c61d0b9cae8c5a1604dee7
12,2 3,1966080,16963,297,297,353376,1237152,19acc862d6a9b0f51147ef330b9490683278ec0da844da9dd6475a66f038bfd8
13,0 2 3,3041280,479366,297,297,546112,1904352,c12589de666d53bf29a354813e9b73e632b2b343246a6f18aca5bbf25604b5db
14,1 2 3,3287040,356486,297,297,580512,2058560,28b468e5f9f9e47258dbc5dea62f6ac63e4c6109a60d583c00cfd426e02d2d58
15,0 1 2 3,4362240,818889,297,297,773248,2725760,0a2dae3a6045223336ab3abc07b546549634c3df9f7d287f43de1e4348eff71e
16,4,1081344,459331,297,297,180832,672352,fb51de65815b01754f4fcf540aaa386aea154abcc66fe4828e65013102d48545
17,0 4,2156544,921734,297,297,373568,1339552,02670178bc026a3079634dcc7d9bdce86bad65974bcd8216c72f24117b67f34b
18,1 4,2402304,798854,297,297,407968,1493760,8927bdc9b6b569498b7a4d3f2b4dd041af6c854ceb3aa16e65f569371fdf60eb
19,0 1 4,3477504,261254,297,297,600704,2160960,1628f22b69d4c939306e3537b856b836b500d45a53a0e86dbd5cf66a5569e240
20,2 4,1855488,72259,297,297,282784,1136032,079608b1f6b80fd7959193a52af6e48e30299059b7c997978a064c87a2e56608
21,0 2 4,2930688,534662,297,297,475520,1803232,54fc5060356b43dee8855fb4219eeb78e93173c9141243835ed879c3265cc916
22,1 2 4,3176448,411782,297,297,509920,1957440,4e5861b757f11a67396d5d6c55aead0bdbb0f7090dea7d08fb967d5fb597f1cb
23,0 1 2 4,4251648,874185,297,297,702656,2624640,8ba89ae3d0088c66892a01fdcc408091868a101b375e6cf31c07253a920cfb7b
24,3 4,2273280,863366,297,297,432256,1445824,d97978b3debea2b271004b059aac1f37fcf59511b181043a289fc9c1dad00768
25,0 3 4,3348480,325766,297,297,624992,2113024,1083d2cfd1a0cdcf058ccf5a3ff5ef663d68705ecf827d9114f9348256a86eba
26,1 3 4,3594240,202886,297,297,659392,2267232,a10d0b53e48bee27e239276dc187732d36557106720e0c400e508b38974c682c
27,0 1 3 4,4669440,665289,297,297,852128,2934432,f4e6346d8976c178325bb128967b2d23778b16792cffa0cff1bc7175fa59be37
28,2 3 4,3047424,476294,297,297,534208,1909504,66d064b0e9eb4c93d131dea92b80adf5573d7bee2e1153546b2ff46fc3dbd3c2
29,0 2 3 4,4122624,938697,297,297,726944,2576704,63d0228d41888478ad9d9a0a60c0839d127f48b9d57a949c863680f08b382f5f
30,1 2 3 4,4368384,815817,297,297,761344,2730912,6d960551950e377fe6568e59269c5a1fc8c8710f1b2cfabe57769c7c70a4f295
31,0 1 2 3 4,5443584,278217,297,297,954080,3398112,50a4c57e0d3292834a66d023e075c1627b79cbe11c64c1b8061754ae91e38485
32,5,691200,654403,193,237,52320,380208,3defe09ba1f349cad17f26c20b07438b1b68088dd760861b54b187e286474ad1
33,0 5,1766400,116803,297,297,245056,1047408,f8905b6cc2b5bc5f5fcd5af11ced8a2f57374c06d382fe1288f97d9f45b6cb0f
34,1 5,2012160,993926,297,297,279456,1201616,ad65a5693a9a9bf908fe9816476b0da77bde4d5e2e4df583f6a7e0049285fc3e
35,0 1 5,3087360,456326,297,297,472192,1868816,1b1e3cf7d0190f6d5d8f8e6748a4c9b1b8e3eb6793b8d22fbe7606909abe7eeb
36,2 5,1465344,267331,297,297,154272,843888,d314d1858cdf94f6d80999add1865f65a9f38b561b326cffdc7b1bbb98ed0002
37,0 2 5,2540544,729734,297,297,347008,1511088,9ac49131ac10e1c65290568ef202e6eceaf00b667b969fcf28b2eb4089444b4a
38,1 2 5,2786304,606854,297,297,381408,1665296,d540d87d700622239e944527a07b08ba45af99fe7aff2a5b819ad1c9ea0ba2c9
39,0 1 2 5,3861504,69254,297,297,574144,2332496,8b845eb93479b31a1d65733c9369d3ee199c98a01f194c26b0d673b97c0a3f7b
40,3 5,1883136,58435,297,297,303744,1153680,879c3f14dd47ea87cb1c506d9138100733fdbe8ee96b58bbba8bc5039707df18
41,0 3 5,2958336,520838,297,297,496480,1820880,31b2915209bedf515fa9686e0e858f535b773d1b6318ff75a233f8531890c0cd
42,1 3 5,3204096,397958,297,297,530880,1975088,06b91614499d9851f864e572def80e2ecd0bcb877d5f21c830b16b50ff166586
43,0 1 3 5,4279296,860361,297,297,723616,2642288,ee33145109f32af6325b0ca76ed6f6bb709546ee929f7b8a423be3a25f9d7b6c
44,2 3 5,2657280,671366,297,297,405696,1617360,1eab5a898a66ab3eea6dd07925c01f688fbe8a6e3ed7204a512613a26c8af0d3
45,0 2 3 5,3732480,133766,297,297,598432,2284560,5340f95dae1bfa97bea9db1bc8adb54845d10ae41b6d00e5ba6f26d2c039274f
46,1 2 3 5,3978240,10886,297,297,632832,2438768,f5433192bbaf148be5ac5b087a5a8898ab8259c5bab6fde716fea455a5b14ec7
47,0 1 2 3 5,5053440,473289,297,297,825568,3105968,13bfd8f2d56e2fa2e565c295924d53844ceb01b2c9d0cffe0b279a0e10e72d08
48,4 5,1772544,113731,297,297,233152,1052560,cb7d6d5011cdc0e72ef467db8a19710ce5cc931e37277344424571dbca401cb2
49,0 4 5,2847744,576134,297,297,425888,1719760,372530413395b1312bbda727954c42afdede5c25010ce02349ab31bf39b35b84
50,1 4 5,3093504,453254,297,297,460288,1873968,581c4b5a4cabd81338f0d060c021a5ac2f9831c8ce53eb9c567d2ebcb2e1a514
51,0 1 4 5,4168704,915657,297,297,653024,2541168,145cdb43ec95c3dd3568c3e0579242d9a744f451a07123faa38e35b596ce6a06
