mask,basis_cycle_ids,height_action,transport_scalar_mod_1000003,lambda_support,corrected_support,corrected_coefficient_sum_signed,corrected_abs_sum_signed_lift,corrected_vector_sha256_dense_i8
52,2 4 5,2546688,726662,297,297,335104,1516240,77378384f5b50a5978777566d8beaaf4ed7247eb670632b986ba143ad21116ec
53,0 2 4 5,3621888,189062,297,297,527840,2183440,5a57444eeb7598c96ab67387ace03a9415053b562e5ff42e4c89a127083b5d37
54,1 2 4 5,3867648,66182,297,297,562240,2337648,a84380c933aed861d4b7158dcce1b352fc48ab6aa3c717ca2ad83043de8da442
55,0 1 2 4 5,4942848,528585,297,297,754976,3004848,b1b1b8745634a510e10c8d4e6d852cabb46e4eb3912664d4692c6182404a1c16
56,3 4 5,2964480,517766,297,297,484576,1826032,04bf15d7f9fb48445b162ee20e01a18cc36b96541f023980f6559a21e2b93fc3
57,0 3 4 5,4039680,980169,297,297,677312,2493232,2d874a048a6a778806ed47cfd28d73c2676d98b8ad2f2681c1717e7755224e70
58,1 3 4 5,4285440,857289,297,297,711712,2647440,fadc3e322b43f54b6eca0d7d71cbc20dca1a89e7ca08881cf33dd1578bfb2841
59,0 1 3 4 5,5360640,319689,297,297,904448,3314640,48c3ded661fb587f50f72eb5d1168bd2e528b5510818e7be3de944ef929b4bec
60,2 3 4 5,3738624,130694,297,297,586528,2289712,b6b28f4339dcaddb1cb6f57790565908d46588ca83506aeeecd98620b2f30400
61,0 2 3 4 5,4813824,593097,297,297,779264,2956912,77bdb66f521a474aadfc21a456b17acab6865f36189201564bb091ae4f9ea248
62,1 2 3 4 5,5059584,470217,297,297,813664,3111120,de273eabca54c00a2873f775bd25982df1338e3ef13dc0d8d8f2499a1033dbaa
63,0 1 2 3 4 5,6134784,932620,297,297,1006400,3778320,f2a3acfad613b50691755b0188fc5a33ab6d9e4a7859b5fafeceac2af363b751
64,6,903168,548419,253,253,71040,497568,9a48b027e713508b7831570a03bfa1ad67df760bb2f6d169f52757970dff935b
65,0 6,1978368,10819,297,297,263776,1164768,5d376ea81fc860576bd2dd4f3bbbca6b37268c9c69441ff576b576a256f53915
66,1 6,2224128,887942,297,297,298176,1318976,0a48926814d16471bb2d48772d91cd3950963cfbe8f9eedf33289012687e4104
67,0 1 6,3299328,350342,297,297,490912,1986176,0bf4f237d5a92e48d47f5b9871189ed4d5b5901d02aa45a79cd5ec41ba95e40a
68,2 6,1677312,161347,253,253,172992,961248,6be9bea2e05f94a3d6e1a1931d112bf687497a11599c47623a13fea3c738e6ba
69,0 2 6,2752512,623750,297,297,365728,1628448,13daa63c65c76c79e4cdb4549421e1fd52ab0501c13b77ea6c38954aecae068f
70,1 2 6,2998272,500870,297,297,400128,1782656,48fe539366b299b7300bb81af7f56d141a596d3651045b78d613847989f33af9
71,0 1 2 6,4073472,963273,297,297,592864,2449856,1b2ab350f3422bb45fe73225c53ae76fddb668288a9971e46f5b3ba5d325b85d
72,3 6,2095104,952454,297,297,322464,1271040,af5e03cf27173a5560b84b9724b2c8486749b35aecf11410c9c376573c4481c1
73,0 3 6,3170304,414854,297,297,515200,1938240,ec68ef1f2898dac75b9db138b37da81f9b80542676ca40df39d127cf4a1e5ebc
74,1 3 6,3416064,291974,297,297,549600,2092448,737d2bf1ee9a8f388ea62297ca284cb360daedd2c5e72b48b9c74cf63c5d4566
75,0 1 3 6,4491264,754377,297,297,742336,2759648,926a0f617fd6c98802c5cdc678ecf61ac11ae9d15669acd4fed9f40eb9c48b0e
76,2 3 6,2869248,565382,297,297,424416,1734720,7539bc59f829ebb6311bbbe48cf5e6edd896f14df65d34738dfc28078e154db9
77,0 2 3 6,3944448,27782,297,297,617152,2401920,afc313b438805cb50af587e57a949882a3f33a9cc503d7b2801de5f855150236
78,1 2 3 6,4190208,904905,297,297,651552,2556128,0310cfb614e4025e37ec7fe004082290040f1f85d7f805660b59fce536e1c8cb
79,0 1 2 3 6,5265408,367305,297,297,844288,3223328,a61b21ad32636b85ff3c24a6b02f33cd8e2ada78dbdfe0231db5b8a9910586dd
80,4 6,1984512,7747,297,297,251872,1169920,7f98d32b702a31286d934e09f21e3bfca309facb7e7bc8f1d53b9cabb639833d
81,0 4 6,3059712,470150,297,297,444608,1837120,ceedc86653ee2609e1c9cd553fb972c874ba9bbdae094ecf407964baabeda75c
82,1 4 6,3305472,347270,297,297,479008,1991328,3b037102243243dd2a674eda0b36a409530bded6c6b8b0e0af7d8b9b30dbd9ab
83,0 1 4 6,4380672,809673,297,297,671744,2658528,d96219b2380da25e018fbab88a30935be44c9d3f6055bcdf1f2c9d0a0c5de85d
84,2 4 6,2758656,620678,297,297,353824,1633600,a45febd987ae950052a586ca79bb99ddf27fae7680702e73a20a97d6b9768ea2
85,0 2 4 6,3833856,83078,297,297,546560,2300800,9340480aaf4388c4407f4299f97b65ebdbb7263a99dafd68aab6662a8ff76069
86,1 2 4 6,4079616,960201,297,297,580960,2455008,8f700fb23f44d9841be074a694c04a469fb25669edd43837430af13bea952aa8
87,0 1 2 4 6,5154816,422601,297,297,773696,3122208,c57cb17b34bf1590825b8fa08d727aadf7bcaba250dc61a2460d7a5a9b5047a6
88,3 4 6,3176448,411782,297,297,503296,1943392,7bf9a0768f7a1a7badcc9b63327eb623da65ec6a4f3494dfa56642bbdc1e5582
89,0 3 4 6,4251648,874185,297,297,696032,2610592,4997975e04de86b0016577607921c2864abbaf4ceff721d21e22671353c4bd01
90,1 3 4 6,4497408,751305,297,297,730432,2764800,53ea1da5bd017b5db31b927203b6c16080ee3cfb66d5debb2c1f9e99fc9e6c3a
91,0 1 3 4 6,5572608,213705,297,297,923168,3432000,44dde4c729be06eb8f7c80a8e3a93dde2a781f6a134e9523b639bebc758f04fa
92,2 3 4 6,3950592,24710,297,297,605248,2407072,fe4dccddaf1f3987fca28601cbfc1a29e9201261d2ec827b865689a76790584c
93,0 2 3 4 6,5025792,487113,297,297,797984,3074272,cd6407f7cb7c8305ac5621c14b052ddf3bc83b42d48f9ab4d914d3778ed76fd1
94,1 2 3 4 6,5271552,364233,297,297,832384,3228480,93fcbafe64003a97065c0203dc7118ceb524e2457e432042be0d0c6d84c57ada
95,0 1 2 3 4 6,6346752,826636,297,297,1025120,3895680,1a699ddc5f849e600e95de785c02ab908c7777b1bfea49265e7600dab37e602f
96,5 6,1594368,202819,297,297,123360,877776,a718615bc877d0125bb72ec591ed29f9b26a0ab48763a6c7b6d7f53dffa69821
97,0 5 6,2669568,665222,297,297,316096,1544976,e50378131c7c69eec61fe369fe891d2e8a2b23b87b78da92e74c456870351e7c
98,1 5 6,2915328,542342,297,297,350496,1699184,3efc98f732981907454cc9d077896aa2cf471d0bbfce035a06878f2997765518
99,0 1 5 6,3990528,4742,297,297,543232,2366384,9da34e34e0618e2e9853d66f4cae1f2e58fb19797ccb9a3b49bfd1da74425809
100,2 5 6,2368512,815750,297,297,225312,1341456,f9f5bff0eff55a99de40a5a08430ae1227b0b9cbee25e2e47631ac2dcfb3423c
101,0 2 5 6,3443712,278150,297,297,418048,2008656,e6226436d94186d9051797210a1a1120482a67a3c958c459c66aa6c6d8373802
102,1 2 5 6,3689472,155270,297,297,452448,2162864,a5e381396b87bed9683da1eb2eef124f865e9b3aec03e8ecf172983333ef8981
103,0 1 2 5 6,4764672,617673,297,297,645184,2830064,cdbfcfc2d679d481f4eb6d0b6136c312d28577917f672667a17ee29f9d62683f
104,3 5 6,2786304,606854,297,297,374784,1651248,fac87fa7a7ea3140119148342778b092b5597b7a62af53d7765dc484d577b532
105,0 3 5 6,3861504,69254,297,297,567520,2318448,5c2e2dbd48f915788be072f5a97c4bd0d53e4823343d38eabc0974aad8549e95
106,1 3 5 6,4107264,946377,297,297,601920,2472656,01d35fbcdf9ad4ecd5273389b562a3f9706a4f1bf6d6297d8566e5d0e5b3ae08
107,0 1 3 5 6,5182464,408777,297,297,794656,3139856,da4fe19340d4deb3307092960d078b533a0068871e3c53912ef62e6b3d3939b0
108,2 3 5 6,3560448,219782,297,297,476736,2114928,839fcb5efb7431ebec108291aac4b9bbf28337d73ab693c33d6af03ddb312a84
109,0 2 3 5 6,4635648,682185,297,297,669472,2782128,2963c4f1a7fc71bd229ea0f0ce8cb34a1c6b3740100d1243c841db26ee79bbb2
110,1 2 3 5 6,4881408,559305,297,297,703872,2936336,57b7c5d4aad740ab9a50258b89d8b312a9f03c2a0bb1a82108ac994fc4bf3706
111,0 1 2 3 5 6,5956608,21705,297,297,896608,3603536,a55dae96e089434d56f744e03fee5996d99c024a42d96f403f74df3897ef82b2
112,4 5 6,2675712,662150,297,297,304192,1550128,3a708c0e5914ea921f22f485c4761e14a793bd6d9a4b99f4d9d470bd1422fbd1
113,0 4 5 6,3750912,124550,297,297,496928,2217328,1c44b2cee7688a97762c184a96ef39102c53eff86d734aab9660a6afe3f6f0ed
114,1 4 5 6,3996672,1670,297,297,531328,2371536,742e06d65e3f8e03bfaefc987a238e8219c09096cd3bb685248e9d556021b504
115,0 1 4 5 6,5071872,464073,297,297,724064,3038736,b817e844038556d8c5e67213825e9702765bc4cb3bf6d3e4b9a9b6b09f5ad335
116,2 4 5 6,3449856,275078,297,297,406144,2013808,f19affb5cd6abf541bb2304764c090982c1c5697c3e58e9901c861d23d28b432
117,0 2 4 5 6,4525056,737481,297,297,598880,2681008,39ff6fa6d61b2a21899defcdbba3cbef0707261c48a6cd095d2e5653298003bf
118,1 2 4 5 6,4770816,614601,297,297,633280,2835216,ada1b5d18b1d51d8d9bc55260633bc44eaaa0cb7f581136badd2ac043d546645
119,0 1 2 4 5 6,5846016,77001,297,297,826016,3502416,aac35dab79829d0c8a1fbcde805ee583c34892ee2aba0dba6d988b6c7080e800
120,3 4 5 6,3867648,66182,297,297,555616,2323600,50deb9ed2c5abc6bbc4a30ab2b5983394f093a6eb466c17e04792928adbde3b8
121,0 3 4 5 6,4942848,528585,297,297,748352,2990800,798fce6ca2e02d5fb66a2433a8e17ba1e36a2c36080175b3d2ae5fb59211ad4e
122,1 3 4 5 6,5188608,405705,297,297,782752,3145008,550fde6fd7087b0537cb069633abaf0ef3b5f383eefceadd9c57d46f166c97a0
123,0 1 3 4 5 6,6263808,868108,297,297,975488,3812208,7c375256f3f7ccdfdea15141608cd5e632eb3e3ddccff1d0f34a27f68840e2b9
124,2 3 4 5 6,4641792,679113,297,297,657568,2787280,499e6e60ae27551940936800c58307ed90453470bab8f23620fa376ecd52e5a1
125,0 2 3 4 5 6,5716992,141513,297,297,850304,3454480,f2eff546627bf5f372e16314dd8a8d91a119839e936079ce8399ae397534783d
126,1 2 3 4 5 6,5962752,18633,297,297,884704,3608688,ca673e74a36b122db9c5c0ce78561e6e0bdb94faa182e720a68a101ce93317a5
127,0 1 2 3 4 5 6,7037952,481036,297,297,1077440,4275888,4c2b3c18bed9a1d767e71b78dce0df4cdf8dbc2b58187adace0271a1c8448858
128,7,1069056,465475,283,283,143872,631744,a5d58dfd758d948c9eb199f2425d9452a45bd2bc476007c75f97a0f8cee7cdbe
129,0 7,2144256,927878,297,297,336608,1298944,9c1d3f8fd5db14fa529dfa3bd9f9b1b805fdf17af2f5830fa138216d1b21691b
130,1 7,2390016,804998,297,297,371008,1453152,077645f6e9d31bae567f4262841f3da5a24692b6d4e4b5dced1e85d50485cd94
131,0 1 7,3465216,267398,297,297,563744,2120352,0dd34cc6d7c79f5e1a9a4e9175076aa7d35f953ee6000faa8d88210e2f36f150
132,2 7,1843200,78403,297,297,245824,1095424,e75c18b301015a84eff97b570cf9a3cc18fd6a2d51bd504b20a7986b28b10708
133,0 2 7,2918400,540806,297,297,438560,1762624,0cd5d68d6eef1b1e24b0faa9cff1ca27b0a830fd115b25477b3437c85cf0f5bd
134,1 2 7,3164160,417926,297,297,472960,1916832,0080f0bf245cabb44c8aae54112f27b280520a9c69267b0abaaf96b6375781c3
135,0 1 2 7,4239360,880329,297,297,665696,2584032,c2e5273782428bdb07405109c0cec59e8e0ad40e783aae58a559dfdf90d61bd1
136,3 7,2260992,869510,297,297,395296,1405216,b5a284545b149e068d1d9e6158222aa5b1e3e49e6c754d4dd76fb93927b6eb53
137,0 3 7,3336192,331910,297,297,588032,2072416,3ae92528c674c520ad86d54e6e9edcc781c79bb9c40faa5d85524cfc617c351e
138,1 3 7,3581952,209030,297,297,622432,2226624,8ae60c89387d4ba8fd3da05a87be40161705f65cbb9fbea261e2de89bd10cb2d
139,0 1 3 7,4657152,671433,297,297,815168,2893824,ecdfebb61726822ee516051b039214ea5076e45f04a94e0cba94ded919d98bae
140,2 3 7,3035136,482438,297,297,497248,1868896,2ce1798b02f1cbadc97bba079538ae972a628de9bf3babaa5942e0d80d3e0d79
141,0 2 3 7,4110336,944841,297,297,689984,2536096,fda965fdaced64e4833f2956a2fc3789f3597eb9379b66d44f9e3429c9aee342
142,1 2 3 7,4356096,821961,297,297,724384,2690304,da84a324101eb94cc3a7da50317e49f70e896157cdffbd554aeea1d0df9333e4
143,0 1 2 3 7,5431296,284361,297,297,917120,3357504,9e74a092c0b1f31841232b158739a3151eded2073761c88ec9bafdbefc75de98
144,4 7,2150400,924806,297,297,324704,1304096,5b8677989357dacfa7f7660ccca8305cc8161ca44b6493e7801f80e79bf4c0c8
145,0 4 7,3225600,387206,297,297,517440,1971296,8af65dc63a0aec52f47d493099295ca23e9dc004cf7d8e70b016aee2b7de998c
146,1 4 7,3471360,264326,297,297,551840,2125504,fdf21002a28076d1532359daafc5a70e9f4677cb848e9dfbd3bba2bd4f80e38c
147,0 1 4 7,4546560,726729,297,297,744576,2792704,befa54c9098adac439f8b1039b86326ba85d7d7282573c738ff8370d70179c6f
148,2 4 7,2924544,537734,297,297,426656,1767776,f87a3532bae7f41d99df556aa56b5b7194fa07bd913e4efdeee1dd33cd86dbd2
149,0 2 4 7,3999744,134,297,297,619392,2434976,6e8a3bc984240cd9d6c40640aef1f2416f8db507ea2821fcb0562c57728f7621
150,1 2 4 7,4245504,877257,297,297,653792,2589184,d59661d7e74440c270849be68fa28d343989f67eed222c351cfc52a10168fef9
151,0 1 2 4 7,5320704,339657,297,297,846528,3256384,a4eba32d2d2c07317d932659b7812ceeaa6221fa84996a531ea30bf9b7cf2411
152,3 4 7,3342336,328838,297,297,576128,2077568,4617a34c57c1ababc2b0dbf41851f08b98db68520f33423b89e49519bab7bac7
153,0 3 4 7,4417536,791241,297,297,768864,2744768,72192357300a56db2e0187afe7a08929173606f59b0661aba40dce55e10a3033
154,1 3 4 7,4663296,668361,297,297,803264,2898976,7bb887dac94a4ad804b5834c3bb5a31096a973abf1927392882bf56b02327271
155,0 1 3 4 7,5738496,130761,297,297,996000,3566176,5f4f3d963da5e16e1229113e957dcdbad310836d6840ffbc8498dd5aa0ed09b7
156,2 3 4 7,4116480,941769,297,297,678080,2541248,6579755330d36e26c7118c3fcd96ea73f78ee6e8c3c81f89649efeb45041d941
157,0 2 3 4 7,5191680,404169,297,297,870816,3208448,daa09ce5c01a48a67fa29d56f6b1fdc56da224e9ec33eaa29233dc0da1cb0b97
158,1 2 3 4 7,5437440,281289,297,297,905216,3362656,19b3d2bc27e271006aff36ca8d3083751a2f2851c157f9a94a83111f78db2ba2
159,0 1 2 3 4 7,6512640,743692,297,297,1097952,4029856,6a39afea2416f2fa8769426fa2fa1252ed80c386785d4f4c9535c409cda1ef90
160,5 7,1760256,119875,297,297,196192,1011952,6fe4c26e15e25d80842d8ea3341ea628b1173ae09dbcba6cbe6934daa8577175
161,0 5 7,2835456,582278,297,297,388928,1679152,8d384a87a737e0a530ebdea89ca514e09c582ab47753ab6554c16e9ebe92572a
162,1 5 7,3081216,459398,297,297,423328,1833360,b0c305108de404b1f993d6946aff58eee18014f050ec808cbbced6d1d565e991
163,0 1 5 7,4156416,921801,297,297,616064,2500560,0dfb36838ba15795e8705e3630e90b9adfd65bf44a46f8e348ca4cd7581bab90
164,2 5 7,2534400,732806,297,297,298144,1475632,ec5c4903724cfa31c03b27f5058d3e1f1742c058aa378270f19ffa1e8e4b1717
165,0 2 5 7,3609600,195206,297,297,490880,2142832,3b480b43dbde6b0929d5aa15cdfc25d3ef4b41f9d83238f4465af82db52533d4
166,1 2 5 7,3855360,72326,297,297,525280,2297040,9b7c780a0acd84db2a181bfd7b45b1b1b15ffa6bb95a2e2d78e38e93414f2a7f
167,0 1 2 5 7,4930560,534729,297,297,718016,2964240,300a36c73b134b0991c665ff4070f621670a0db7555a9fee7b045961676b9909
168,3 5 7,2952192,523910,297,297,447616,1785424,add05fbb82b1b3f1b0d6b1ef1b09b4a73861a4529ef4d437cdf4498588966833
169,0 3 5 7,4027392,986313,297,297,640352,2452624,99dac214850e6f40a306e649a988f72d4cc5316b26352ddf7d08ff8bf5f256dc
170,1 3 5 7,4273152,863433,297,297,674752,2606832,1e6db7a18fc8f3efffc18a92cae8c16dc6207dac685874c1580813bf857fedd7
171,0 1 3 5 7,5348352,325833,297,297,867488,3274032,e7d7fbd7e636458866aa4953960298ebdb4f7804eb43aad1f05b83e76d4af12c
172,2 3 5 7,3726336,136838,297,297,549568,2249104,c79f5c9b426236f11d85eb85e98181e7bfc1f975212eae9476e6cdd97ec0f390
173,0 2 3 5 7,4801536,599241,297,297,742304,2916304,453d3cf8f1691ba68355d74ffd0fe924268cd161ec9dcbca76af6900d07dfaf9
174,1 2 3 5 7,5047296,476361,297,297,776704,3070512,b441c8d158d48ca3984fe506e0872bb39f004c4be50c3c3fbdaac56abc8af542
175,0 1 2 3 5 7,6122496,938764,297,297,969440,3737712,5d696dbe8f8b6d9620447f58210b259e3c31d32472029fec6b616512b775a425
176,4 5 7,2841600,579206,297,297,377024,1684304,dbb80a231acddd7672b480b39dfec508dbd4feb77ae739d6c2f1f711377e9eed
177,0 4 5 7,3916800,41606,297,297,569760,2351504,518dcf108c0725f01af838c020f0e106f56aeaf2d892a5f57bf29b96328a8221
178,1 4 5 7,4162560,918729,297,297,604160,2505712,16b466372ebc63dca9d3c5c51bb10491a72c68fbb5a003a2bea21a5952db70f4
179,0 1 4 5 7,5237760,381129,297,297,796896,3172912,58fe4e31cf653b1f5fd445e8d4e35459817e5a07fc56022537cf85aa10014c55
180,2 4 5 7,3615744,192134,297,297,478976,2147984,91112ddb179bb2e4f2a84385ee390ba650a15d236795ea2bf2695321b78f8b6b
181,0 2 4 5 7,4690944,654537,297,297,671712,2815184,e365cd7e0280043753bfac23c833973447780b8d3410ce6b012daca2c3d367d8
182,1 2 4 5 7,4936704,531657,297,297,706112,2969392,8a7fe93dedd5a06ea2d816863277e5368b1001d0816433816efce22913bc360d
183,0 1 2 4 5 7,6011904,994060,297,297,898848,3636592,c56b0e172bf6864c40c8f280d81b504e9284a5169432aca6b2b845e3783d5445
184,3 4 5 7,4033536,983241,297,297,628448,2457776,7afdfac817ba44100841978a756bce07890a8da65bd90f285e55ce76adfe8272
185,0 3 4 5 7,5108736,445641,297,297,821184,3124976,592f617f574da27d30e280d0934b051f5d5ab1bfe827e1f3b933a0a50a984f55
186,1 3 4 5 7,5354496,322761,297,297,855584,3279184,d6da48f7d86375e2596754a05d95bb9d3144c9ecade38290ac40ebd72c0b3dc3
187,0 1 3 4 5 7,6429696,785164,297,297,1048320,3946384,ab7f780b621ea86c5ddc29a916f9f73d3064075289b71372729f58b83f420f57
188,2 3 4 5 7,4807680,596169,297,297,730400,2921456,b1f9f1e14376355928043b42646a23ccf37aeb973014d91f3245e4b2b6406eb1
189,0 2 3 4 5 7,5882880,58569,297,297,923136,3588656,d1e767ac7560cecbf8be35609bfb6911c8ffe716ba1d59e1fbecf4417bb39faa
190,1 2 3 4 5 7,6128640,935692,297,297,957536,3742864,a8fc46199ceb3688975c332c1c456afb4d53f785a3c5fff67f7b2104a339a347
191,0 1 2 3 4 5 7,7203840,398092,297,297,1150272,4410064,ee89e3b2bc0ced62584234e002041fe012cc37ef20bc7d8410c9d85f95a1a77c
192,6 7,1972224,13891,297,297,214912,1129312,d3ef9f231220e20685ab33ed0211c15ffffdab803befef0a63af57f2c180645d
193,0 6 7,3047424,476294,297,297,407648,1796512,4863b9bec0495dfee7f3568a059af2f2929deba775b5e50ca25b2069261aa5ec
194,1 6 7,3293184,353414,297,297,442048,1950720,8cbdf0ade5138bc3cd7d2da41f93fc0a301b7b4da29f4b45bb6b79ff8624803b
195,0 1 6 7,4368384,815817,297,297,634784,2617920,b0cbcc7aea0e07cb4c0af41a7d3811faad5dac97dbdc33934a5f97dc553827fa
196,2 6 7,2746368,626822,297,297,316864,1592992,9775bd2bdaca233308362c8b00611f14c342d312d11bd94987f7b575793dea68
