propagation_id,law_id,square_code,law_code,source_id,target_id,subtarget_id,external_seed_flag,internal_propagation_flag,split_pair_count,direct_missing_row_count,ultimate_missing_row_count,dependency_count,law_dependency_count,external_dependency_count,equal_flag
0,91,2,2,9,0,-1,1,0,8,19,19,19,0,19,1
1,92,2,2,10,0,-1,1,0,7,21,21,21,0,21,1
2,93,2,2,11,0,-1,1,0,6,23,23,23,0,23,1
3,94,2,2,12,0,-1,1,0,5,25,25,25,0,25,1
4,95,2,2,13,0,-1,1,0,4,27,27,27,0,27,1
5,96,2,2,14,0,-1,1,0,3,29,29,29,0,29,1
6,97,2,2,15,0,-1,1,0,2,31,31,31,0,31,1
7,98,2,2,16,0,-1,1,0,1,33,33,33,0,33,1
8,123,3,3,9,2,-1,1,0,8,19,19,19,0,19,1
9,124,3,3,9,3,-1,1,0,8,19,19,19,0,19,1
10,125,3,3,9,4,-1,1,0,8,19,19,19,0,19,1
11,126,3,3,10,2,-1,1,0,7,21,21,21,0,21,1
12,127,3,3,10,3,-1,1,0,7,21,21,21,0,21,1
13,128,3,3,10,4,-1,1,0,7,21,21,21,0,21,1
14,129,3,3,11,2,-1,1,0,6,23,23,23,0,23,1
15,130,3,3,11,3,-1,1,0,6,23,23,23,0,23,1
16,131,3,3,11,4,-1,1,0,6,23,23,23,0,23,1
17,132,3,3,12,2,-1,1,0,5,25,25,25,0,25,1
18,133,3,3,12,3,-1,1,0,5,25,25,25,0,25,1
19,134,3,3,12,4,-1,1,0,5,25,25,25,0,25,1
20,135,3,3,13,2,-1,1,0,4,27,27,27,0,27,1
21,136,3,3,13,3,-1,1,0,4,27,27,27,0,27,1
22,137,3,3,13,4,-1,1,0,4,27,27,27,0,27,1
23,138,3,3,14,2,-1,1,0,3,29,29,29,0,29,1
24,139,3,3,14,3,-1,1,0,3,29,29,29,0,29,1
25,140,3,3,14,4,-1,1,0,3,29,29,29,0,29,1
26,141,3,3,15,2,-1,1,0,2,31,31,31,0,31,1
27,142,3,3,15,3,-1,1,0,2,31,31,31,0,31,1
28,143,3,3,15,4,-1,1,0,2,31,31,31,0,31,1
29,144,3,3,16,2,-1,1,0,1,33,33,33,0,33,1
30,145,3,3,16,3,-1,1,0,1,33,33,33,0,33,1
31,146,3,3,16,4,-1,1,0,1,33,33,33,0,33,1
32,219,4,4,9,0,0,1,0,8,19,19,19,0,19,1
33,220,4,5,9,0,1,0,1,8,0,19,1,1,0,1
34,221,4,6,9,0,2,0,1,8,0,19,2,2,0,1
35,222,4,4,9,1,0,1,0,8,19,19,19,0,19,1
36,223,4,5,9,1,1,0,1,8,0,19,1,1,0,1
37,224,4,6,9,1,2,0,1,8,0,19,2,2,0,1
38,225,4,4,9,2,0,1,0,8,19,19,19,0,19,1
39,226,4,5,9,2,1,0,1,8,0,19,1,1,0,1
40,227,4,6,9,2,2,0,1,8,0,19,2,2,0,1
41,228,4,4,10,0,0,1,0,7,21,21,21,0,21,1
42,229,4,5,10,0,1,0,1,7,0,21,1,1,0,1
43,230,4,6,10,0,2,0,1,7,0,21,2,2,0,1
44,231,4,4,10,1,0,1,0,7,21,21,21,0,21,1
45,232,4,5,10,1,1,0,1,7,0,21,1,1,0,1
46,233,4,6,10,1,2,0,1,7,0,21,2,2,0,1
47,234,4,4,10,2,0,1,0,7,21,21,21,0,21,1
48,235,4,5,10,2,1,0,1,7,0,21,1,1,0,1
49,236,4,6,10,2,2,0,1,7,0,21,2,2,0,1
50,237,4,4,11,0,0,1,0,6,23,23,23,0,23,1
51,238,4,5,11,0,1,0,1,6,0,23,1,1,0,1
